Gene stable ID	Transcript stable ID	AFFY Rhesus probe
ENSMMUG00000023296	ENSMMUT00000032773	MmuSTS.448.1.S1_at
ENSMMUG00000000634	ENSMMUT00000000911	MmugDNA.30197.1.S1_at
ENSMMUG00000000634	ENSMMUT00000094839	MmugDNA.30197.1.S1_at
ENSMMUG00000000634	ENSMMUT00000000912	MmugDNA.30197.1.S1_at
ENSMMUG00000037875	ENSMMUT00000000909	MmugDNA.31991.1.S1_at
ENSMMUG00000037875	ENSMMUT00000000909	MmugDNA.42835.1.S1_at
ENSMMUG00000037875	ENSMMUT00000086541	MmugDNA.31991.1.S1_at
ENSMMUG00000037875	ENSMMUT00000086541	MmugDNA.42835.1.S1_at
ENSMMUG00000037875	ENSMMUT00000076044	MmugDNA.31991.1.S1_at
ENSMMUG00000037875	ENSMMUT00000076044	MmugDNA.42835.1.S1_at
ENSMMUG00000000632	ENSMMUT00000000907	MmugDNA.42772.1.S1_at
ENSMMUG00000000632	ENSMMUT00000067005	MmugDNA.42772.1.S1_at
ENSMMUG00000000632	ENSMMUT00000072117	MmugDNA.42772.1.S1_at
ENSMMUG00000057389	ENSMMUT00000085307	MmugDNA.10546.1.S1_at
ENSMMUG00000057389	ENSMMUT00000088433	MmugDNA.10546.1.S1_at
ENSMMUG00000031199	ENSMMUT00000027267	MmunewRS.350.1.S1_at
ENSMMUG00000053841	ENSMMUT00000104666	MmunewRS.1069.1.S1_s_at
ENSMMUG00000017095	ENSMMUT00000014576	MmunewRS.632.1.S1_at
ENSMMUG00000025700	ENSMMUT00000035401	MmunewRS.163.1.S1_at
ENSMMUG00000049101	ENSMMUT00000054747	MmunewRS.163.1.S1_at
ENSMMUG00000055842	ENSMMUT00000103326	MmuSTS.482.1.S1_at
ENSMMUG00000055842	ENSMMUT00000103326	MmuSTS.482.1.S1_s_at
ENSMMUG00000055842	ENSMMUT00000103326	MmunewRS.258.1.S1_at
ENSMMUG00000062331	ENSMMUT00000082351	MmunewRS.1019.1.S1_at
ENSMMUG00000062331	ENSMMUT00000082351	MmuSTS.537.1.S1_s_at
ENSMMUG00000064657	ENSMMUT00000088670	MmugDNA.42056.1.S1_at
ENSMMUG00000064657	ENSMMUT00000088670	MmunewRS.1069.1.S1_s_at
ENSMMUG00000005566	ENSMMUT00000058794	MmuSTS.405.1.S1_s_at
ENSMMUG00000005566	ENSMMUT00000058794	MmunewRS.84.1.S1_at
ENSMMUG00000005566	ENSMMUT00000058794	MmuSTS.405.1.S1_at
ENSMMUG00000064874	ENSMMUT00000095732	MmunewRS.141.1.S1_at
ENSMMUG00000039595	ENSMMUT00000014496	MmunewRS.144.1.S1_s_at
ENSMMUG00000039595	ENSMMUT00000014496	MmunewRS.144.1.S1_at
ENSMMUG00000038524	ENSMMUT00000001109	MmuSTS.404.1.S1_at
ENSMMUG00000049432	ENSMMUT00000085285	MmuSTS.394.1.S1_s_at
ENSMMUG00000059065	ENSMMUT00000024892	MmugDNA.14174.1.S1_at
ENSMMUG00000053957	ENSMMUT00000100177	MmuSTS.131.1.S1_at
ENSMMUG00000057748	ENSMMUT00000104725	MmugDNA.15031.1.S1_s_at
ENSMMUG00000050041	ENSMMUT00000107198	MmugDNA.15031.1.S1_s_at
ENSMMUG00000050041	ENSMMUT00000107198	MmunewRS.143.1.S1_at
ENSMMUG00000052261	ENSMMUT00000086404	MmuSTS.131.1.S1_at
ENSMMUG00000062168	ENSMMUT00000105592	MmunewRS.646.1.S1_s_at
ENSMMUG00000062168	ENSMMUT00000105592	MmuSTS.131.1.S1_at
ENSMMUG00000056262	ENSMMUT00000083994	MmuSTS.394.1.S1_s_at
ENSMMUG00000038159	ENSMMUT00000007832	MmugDNA.41726.1.S1_at
ENSMMUG00000005570	ENSMMUT00000007831	MmuSTS.636.1.S1_at
ENSMMUG00000005570	ENSMMUT00000007831	MmuSTS.636.1.S1_s_at
ENSMMUG00000006214	ENSMMUT00000008692	MmunewRS.212.1.S1_at
ENSMMUG00000062849	ENSMMUT00000098742	MmugDNA.16971.1.S1_at
ENSMMUG00000064145	ENSMMUT00000088481	MmunewRS.679.1.S1_at
ENSMMUG00000016175	ENSMMUT00000022726	MmuSTS.505.1.S1_s_at
ENSMMUG00000016176	ENSMMUT00000022727	MmunewRS.841.1.S1_at
ENSMMUG00000005955	ENSMMUT00000080009	MmugDNA.36120.1.S1_at
ENSMMUG00000005955	ENSMMUT00000008337	MmugDNA.36120.1.S1_at
ENSMMUG00000012954	ENSMMUT00000018164	MmugDNA.32645.1.S1_at
ENSMMUG00000005949	ENSMMUT00000008332	MmuSTS.400.1.S1_s_at
ENSMMUG00000005949	ENSMMUT00000008332	MmunewRS.823.1.S1_at
ENSMMUG00000005946	ENSMMUT00000074048	MmugDNA.21907.1.S1_at
ENSMMUG00000005946	ENSMMUT00000074048	MmugDNA.4850.1.S1_at
ENSMMUG00000005946	ENSMMUT00000008331	MmugDNA.21907.1.S1_at
ENSMMUG00000005946	ENSMMUT00000008331	MmugDNA.4850.1.S1_at
ENSMMUG00000019585	ENSMMUT00000027507	MmugDNA.10736.1.S1_at
ENSMMUG00000059322	ENSMMUT00000089355	MmugDNA.23633.1.S1_at
ENSMMUG00000059322	ENSMMUT00000089355	MmugDNA.6552.1.S1_at
ENSMMUG00000059322	ENSMMUT00000080117	MmugDNA.23633.1.S1_at
ENSMMUG00000059322	ENSMMUT00000080117	MmugDNA.6552.1.S1_at
ENSMMUG00000004566	ENSMMUT00000106522	MmugDNA.9033.1.S1_at
ENSMMUG00000004566	ENSMMUT00000006456	MmugDNA.9033.1.S1_at
ENSMMUG00000054567	ENSMMUT00000105042	MmugDNA.21555.1.S1_at
ENSMMUG00000016408	ENSMMUT00000110364	MmugDNA.36306.1.S1_at
ENSMMUG00000016408	ENSMMUT00000110364	MmugDNA.17632.1.S1_at
ENSMMUG00000016408	ENSMMUT00000110364	MmugDNA.42995.1.S1_at
ENSMMUG00000016408	ENSMMUT00000023043	MmugDNA.36306.1.S1_at
ENSMMUG00000016408	ENSMMUT00000023043	MmugDNA.17632.1.S1_at
ENSMMUG00000016408	ENSMMUT00000023043	MmugDNA.42995.1.S1_at
ENSMMUG00000016408	ENSMMUT00000097799	MmugDNA.36306.1.S1_at
ENSMMUG00000016408	ENSMMUT00000097799	MmugDNA.17632.1.S1_at
ENSMMUG00000016408	ENSMMUT00000097799	MmugDNA.42995.1.S1_at
ENSMMUG00000016408	ENSMMUT00000089453	MmugDNA.36306.1.S1_at
ENSMMUG00000016408	ENSMMUT00000089453	MmugDNA.17632.1.S1_at
ENSMMUG00000016408	ENSMMUT00000089453	MmugDNA.42995.1.S1_at
ENSMMUG00000022208	ENSMMUT00000108512	MmugDNA.37818.1.S1_at
ENSMMUG00000022208	ENSMMUT00000108512	MmugDNA.37543.1.S1_at
ENSMMUG00000022208	ENSMMUT00000108512	Mmu.4380.1.S1_s_at
ENSMMUG00000022208	ENSMMUT00000086709	MmugDNA.37543.1.S1_at
ENSMMUG00000022208	ENSMMUT00000086709	Mmu.4380.1.S1_s_at
ENSMMUG00000022208	ENSMMUT00000031237	MmugDNA.37818.1.S1_at
ENSMMUG00000022208	ENSMMUT00000031237	MmugDNA.37543.1.S1_at
ENSMMUG00000022208	ENSMMUT00000031237	Mmu.4380.1.S1_s_at
ENSMMUG00000025558	ENSMMUT00000035259	MmugDNA.11156.1.S1_at
ENSMMUG00000055981	ENSMMUT00000099343	MmugDNA.22343.1.S1_at
ENSMMUG00000055981	ENSMMUT00000099343	MmugDNA.22343.1.S1_s_at
ENSMMUG00000058124	ENSMMUT00000097600	MmugDNA.4816.1.S1_at
ENSMMUG00000001382	ENSMMUT00000001955	MmugDNA.30804.1.S1_at
ENSMMUG00000043586	ENSMMUT00000076496	MmuSTS.165.1.S1_at
ENSMMUG00000060928	ENSMMUT00000094107	MmugDNA.29761.1.S1_at
ENSMMUG00000002585	ENSMMUT00000003678	MmugDNA.23525.1.S1_at
ENSMMUG00000011380	ENSMMUT00000044519	MmugDNA.22715.1.S1_s_at
ENSMMUG00000011380	ENSMMUT00000044519	MmugDNA.22717.1.S1_at
ENSMMUG00000011380	ENSMMUT00000044519	MmugDNA.6947.1.S1_at
ENSMMUG00000011380	ENSMMUT00000015937	MmugDNA.22715.1.S1_s_at
ENSMMUG00000011380	ENSMMUT00000015937	MmugDNA.22717.1.S1_at
ENSMMUG00000011380	ENSMMUT00000015937	MmugDNA.6947.1.S1_at
ENSMMUG00000011380	ENSMMUT00000106143	MmugDNA.22715.1.S1_s_at
ENSMMUG00000011380	ENSMMUT00000106143	MmugDNA.22717.1.S1_at
ENSMMUG00000011380	ENSMMUT00000106143	MmugDNA.6947.1.S1_at
ENSMMUG00000055490	ENSMMUT00000101527	MmugDNA.17061.1.S1_at
ENSMMUG00000055003	ENSMMUT00000105781	MmugDNA.2177.1.S1_at
ENSMMUG00000055003	ENSMMUT00000083046	MmugDNA.2177.1.S1_at
ENSMMUG00000005777	ENSMMUT00000008109	MmuSTS.3342.1.S1_at
ENSMMUG00000005777	ENSMMUT00000008109	MmuSTS.3342.1.S1_s_at
ENSMMUG00000008153	ENSMMUT00000087309	MmuSTS.360.1.S1_at
ENSMMUG00000008153	ENSMMUT00000090796	MmuSTS.360.1.S1_at
ENSMMUG00000008153	ENSMMUT00000011388	MmuSTS.360.1.S1_at
ENSMMUG00000017324	ENSMMUT00000075346	MmugDNA.3713.1.S1_at
ENSMMUG00000017324	ENSMMUT00000024356	MmugDNA.3713.1.S1_at
ENSMMUG00000052401	ENSMMUT00000094101	MmugDNA.23288.1.S1_at
ENSMMUG00000011424	ENSMMUT00000083175	MmugDNA.32720.1.S1_at
ENSMMUG00000008847	ENSMMUT00000012371	MmugDNA.14125.1.S1_at
ENSMMUG00000011424	ENSMMUT00000105699	MmugDNA.32720.1.S1_at
ENSMMUG00000011424	ENSMMUT00000015996	MmugDNA.32720.1.S1_at
ENSMMUG00000023150	ENSMMUT00000032568	MmugDNA.30282.1.S1_at
ENSMMUG00000053368	ENSMMUT00000088441	MmugDNA.29944.1.S1_at
ENSMMUG00000036090	ENSMMUT00000051824	MmugDNA.5605.1.S1_at
ENSMMUG00000036090	ENSMMUT00000051824	MmugDNA.20021.1.S1_s_at
ENSMMUG00000036090	ENSMMUT00000051824	MmugDNA.20021.1.S1_at
ENSMMUG00000036090	ENSMMUT00000051824	MmugDNA.20021.1.S1_x_at
ENSMMUG00000054234	ENSMMUT00000043360	MmugDNA.19285.1.S1_s_at
ENSMMUG00000054234	ENSMMUT00000043360	Mmu.13254.1.S1_at
ENSMMUG00000054234	ENSMMUT00000043360	MmugDNA.7569.1.S1_at
ENSMMUG00000054234	ENSMMUT00000043360	MmugDNA.14996.1.S1_at
ENSMMUG00000054234	ENSMMUT00000043360	MmugDNA.7569.1.S1_s_at
ENSMMUG00000021098	ENSMMUT00000044504	MmuSTS.588.1.S1_at
ENSMMUG00000021098	ENSMMUT00000044504	Mmu.7385.1.S1_at
ENSMMUG00000021098	ENSMMUT00000044504	MmugDNA.8036.1.S1_at
ENSMMUG00000021098	ENSMMUT00000044504	MmugDNA.9602.1.S1_at
ENSMMUG00000021098	ENSMMUT00000044504	MmugDNA.22588.1.S1_at
ENSMMUG00000021098	ENSMMUT00000044504	MmugDNA.31800.1.S1_at
ENSMMUG00000021098	ENSMMUT00000044504	MmugDNA.42330.1.S1_at
ENSMMUG00000021098	ENSMMUT00000029673	Mmu.7385.1.S1_at
ENSMMUG00000021098	ENSMMUT00000029673	MmugDNA.22588.1.S1_at
ENSMMUG00000021098	ENSMMUT00000029673	MmugDNA.31800.1.S1_at
ENSMMUG00000031175	ENSMMUT00000075457	MmugDNA.12970.1.S1_at
ENSMMUG00000031175	ENSMMUT00000075457	MmugDNA.12968.1.S1_at
ENSMMUG00000031175	ENSMMUT00000044503	MmugDNA.12970.1.S1_at
ENSMMUG00000031175	ENSMMUT00000044503	MmugDNA.12968.1.S1_at
ENSMMUG00000018525	ENSMMUT00000107358	MmugDNA.25872.1.S1_at
ENSMMUG00000018525	ENSMMUT00000107358	MmuSTS.3706.1.S1_at
ENSMMUG00000018525	ENSMMUT00000107358	MmugDNA.27503.1.S1_at
ENSMMUG00000018525	ENSMMUT00000045407	MmugDNA.25872.1.S1_at
ENSMMUG00000018525	ENSMMUT00000045407	MmuSTS.3706.1.S1_at
ENSMMUG00000018525	ENSMMUT00000045407	MmugDNA.27503.1.S1_at
ENSMMUG00000018525	ENSMMUT00000091007	MmugDNA.25872.1.S1_at
ENSMMUG00000018525	ENSMMUT00000091007	MmuSTS.3706.1.S1_at
ENSMMUG00000018525	ENSMMUT00000091007	MmugDNA.27503.1.S1_at
ENSMMUG00000018525	ENSMMUT00000103145	MmugDNA.25872.1.S1_at
ENSMMUG00000018525	ENSMMUT00000103145	MmuSTS.3706.1.S1_at
ENSMMUG00000018525	ENSMMUT00000103145	MmugDNA.27503.1.S1_at
ENSMMUG00000018525	ENSMMUT00000026046	MmuSTS.3706.1.S1_at
ENSMMUG00000018525	ENSMMUT00000026046	MmugDNA.27503.1.S1_at
ENSMMUG00000018525	ENSMMUT00000026047	MmuSTS.3706.1.S1_at
ENSMMUG00000018525	ENSMMUT00000026047	MmugDNA.27503.1.S1_at
ENSMMUG00000018525	ENSMMUT00000104941	MmugDNA.25872.1.S1_at
ENSMMUG00000018525	ENSMMUT00000104941	MmuSTS.3706.1.S1_at
ENSMMUG00000018525	ENSMMUT00000104941	MmugDNA.27503.1.S1_at
ENSMMUG00000022310	ENSMMUT00000071385	MmugDNA.5418.1.S1_at
ENSMMUG00000022310	ENSMMUT00000071385	MmugDNA.36729.1.S1_s_at
ENSMMUG00000022310	ENSMMUT00000071385	MmugDNA.10741.1.S1_s_at
ENSMMUG00000022310	ENSMMUT00000031389	MmugDNA.5418.1.S1_at
ENSMMUG00000022310	ENSMMUT00000031389	MmugDNA.36729.1.S1_s_at
ENSMMUG00000012031	ENSMMUT00000047395	MmuSTS.3934.1.S1_at
ENSMMUG00000000021	ENSMMUT00000044492	MmugDNA.11587.1.S1_at
ENSMMUG00000000021	ENSMMUT00000044492	MmugDNA.15025.1.S1_at
ENSMMUG00000000021	ENSMMUT00000000026	MmugDNA.11587.1.S1_at
ENSMMUG00000050632	ENSMMUT00000087507	MmuSTS.43.1.S1_at
ENSMMUG00000050632	ENSMMUT00000091729	MmuSTS.43.1.S1_at
ENSMMUG00000008636	ENSMMUT00000104191	MmugDNA.5982.1.S1_at
ENSMMUG00000008636	ENSMMUT00000104191	MmugDNA.16449.1.S1_at
