Gene stable ID	Transcript stable ID	AFFY RG U34A probe
ENSRNOG00000031780	ENSRNOT00000041720	rc_AA892248_g_at
ENSRNOG00000030478	ENSRNOT00000040038	rc_AI007824_at
ENSRNOG00000030478	ENSRNOT00000040038	rc_AA892248_g_at
ENSRNOG00000030478	ENSRNOT00000040038	rc_AI007824_g_at
ENSRNOG00000029171	ENSRNOT00000045072	rc_AI007824_at
ENSRNOG00000029171	ENSRNOT00000045072	rc_AI007824_g_at
ENSRNOG00000043866	ENSRNOT00000069133	M35826cds_s_at
ENSRNOG00000043866	ENSRNOT00000069133	rc_AI007824_at
ENSRNOG00000043866	ENSRNOT00000069133	rc_AI007824_g_at
ENSRNOG00000043866	ENSRNOT00000069133	rc_AI010632_s_at
ENSRNOG00000032112	ENSRNOT00000049156	M35826cds_s_at
ENSRNOG00000032112	ENSRNOT00000049156	rc_AI010632_s_at
ENSRNOG00000030644	ENSRNOT00000047550	M35826cds_s_at
ENSRNOG00000030644	ENSRNOT00000047550	X14848cds#2_s_at
ENSRNOG00000030644	ENSRNOT00000047550	rc_AI010632_s_at
ENSRNOG00000029301	ENSRNOT00000051008	X14848cds#2_s_at
ENSRNOG00000029301	ENSRNOT00000051008	rc_AI010632_s_at
ENSRNOG00000033545	ENSRNOT00000049396	L24776_at
ENSRNOG00000032274	ENSRNOT00000042644	X14848cds#2_s_at
ENSRNOG00000032274	ENSRNOT00000042644	rc_AI010632_s_at
ENSRNOG00000031033	ENSRNOT00000040993	rc_AA850885_s_at
ENSRNOG00000031033	ENSRNOT00000040993	J01435cds#1_s_at
ENSRNOG00000031033	ENSRNOT00000040993	X14848cds#2_s_at
ENSRNOG00000031033	ENSRNOT00000040993	rc_AI010632_s_at
ENSRNOG00000031033	ENSRNOT00000040993	rc_AA893485_g_at
ENSRNOG00000029677	ENSRNOT00000046073	rc_AA850885_s_at
ENSRNOG00000029677	ENSRNOT00000046073	J01435cds#1_s_at
ENSRNOG00000029677	ENSRNOT00000046073	rc_AA893485_g_at
ENSRNOG00000033932	ENSRNOT00000044320	L24776_at
ENSRNOG00000033932	ENSRNOT00000044320	U49099_at
ENSRNOG00000032609	ENSRNOT00000048525	L24776_at
ENSRNOG00000032609	ENSRNOT00000048525	U49099_at
ENSRNOG00000031333	ENSRNOT00000045310	L24776_at
ENSRNOG00000031333	ENSRNOT00000045310	U49099_at
ENSRNOG00000029954	ENSRNOT00000051860	U49099_at
ENSRNOG00000034234	ENSRNOT00000050156	rc_AA850885_s_at
ENSRNOG00000034234	ENSRNOT00000050156	J01435cds#1_s_at
ENSRNOG00000034234	ENSRNOT00000050156	S79304_s_at
ENSRNOG00000034234	ENSRNOT00000050156	J01435cds#4_s_at
ENSRNOG00000034234	ENSRNOT00000050156	rc_AA893485_g_at
ENSRNOG00000031685	ENSRNOT00000051129	S79304_s_at
ENSRNOG00000031685	ENSRNOT00000051129	J01435cds#4_s_at
ENSRNOG00000030371	ENSRNOT00000043693	S79304_s_at
ENSRNOG00000030371	ENSRNOT00000043693	rc_AA945152_s_at
