Gene stable ID	Transcript stable ID	AFFY Mu11KsubB probe
ENSMUSG00000065208	ENSMUST00000083274	x12507_s_at
ENSMUSG00000076033	ENSMUST00000102079	Msa.644.0_f_at
ENSMUSG00000064853	ENSMUST00000082919	Msa.13367.0_s_at
ENSMUSG00000088895	ENSMUST00000158270	x12507_s_at
ENSMUSG00000076038	ENSMUST00000102084	Msa.644.0_f_at
ENSMUSG00000076236	ENSMUST00000102281	X73331_f_at
ENSMUSG00000064525	ENSMUST00000082591	Msa.21244.0_s_at
ENSMUSG00000093816	ENSMUST00000177557	Msa.644.0_f_at
ENSMUSG00000092680	ENSMUST00000174939	X73829_f_at
ENSMUSG00000092650	ENSMUST00000174909	Msa.401.0_f_at
ENSMUSG00000062461	ENSMUST00000080866	X05021_f_at
ENSMUSG00000062461	ENSMUST00000080866	Msa.2195.0_f_at
ENSMUSG00000104880	ENSMUST00000197692	Msa.18698.0_s_at
ENSMUSG00000098596	ENSMUST00000184953	Msa.23615.0_s_at
ENSMUSG00000098596	ENSMUST00000184953	Msa.43192.0_g_at
ENSMUSG00000098596	ENSMUST00000184953	Msa.43192.0_at
ENSMUSG00000076275	ENSMUST00000102320	X58196_f_at
ENSMUSG00000076275	ENSMUST00000102320	Msa.1455.0_f_at
ENSMUSG00000076036	ENSMUST00000102082	Msa.644.0_f_at
ENSMUSG00000093148	ENSMUST00000175407	Msa.401.0_f_at
ENSMUSG00000094403	ENSMUST00000102081	Msa.644.0_f_at
ENSMUSG00000092656	ENSMUST00000174915	Msa.1991.0_s_at
ENSMUSG00000064655	ENSMUST00000082721	Msa.10180.0_s_at
ENSMUSG00000077440	ENSMUST00000104252	Msa.2662.0_s_at
ENSMUSG00000077440	ENSMUST00000104252	X15962_f_at
ENSMUSG00000098291	ENSMUST00000183646	Msa.254.0_at
ENSMUSG00000098291	ENSMUST00000183646	Msa.33823.0_s_at
ENSMUSG00000098593	ENSMUST00000184553	Msa.42390.0_at
ENSMUSG00000098445	ENSMUST00000184774	Msa.510.0_f_at
ENSMUSG00000077734	ENSMUST00000104546	Y00225_s_at
ENSMUSG00000064791	ENSMUST00000082857	Msa.778.0_f_at
ENSMUSG00000064441	ENSMUST00000082507	Msa.31964.0_f_at
ENSMUSG00000064441	ENSMUST00000082507	Msa.16027.0_s_at
ENSMUSG00000095456	ENSMUST00000179253	x74953_s_at
ENSMUSG00000080364	ENSMUST00000116714	x56045_s_at
ENSMUSG00000065439	ENSMUST00000083505	Msa.31005.0_s_at
ENSMUSG00000093264	ENSMUST00000175523	Msa.401.0_f_at
ENSMUSG00000076445	ENSMUST00000103246	X73331_f_at
ENSMUSG00000104552	ENSMUST00000197446	x12507_s_at
ENSMUSG00000076230	ENSMUST00000102275	X73331_f_at
ENSMUSG00000099267	ENSMUST00000183370	Msa.9083.0_s_at
ENSMUSG00000077709	ENSMUST00000104521	Msa.1150.0_f_at
ENSMUSG00000105913	ENSMUST00000198528	X51528_f_at
ENSMUSG00000105913	ENSMUST00000198528	Msa.3380.0_f_at
ENSMUSG00000002658	ENSMUST00000002733	Msa.7111.0_s_at
ENSMUSG00000002658	ENSMUST00000002733	Msa.17602.0_s_at
ENSMUSG00000095623	ENSMUST00000179240	x74953_s_at
ENSMUSG00000098547	ENSMUST00000183719	Msa.27761.0_s_at
ENSMUSG00000065778	ENSMUST00000083844	Msa.10180.0_s_at
ENSMUSG00000105874	ENSMUST00000200287	X90778_f_at
ENSMUSG00000093327	ENSMUST00000175586	X00496_s_at
ENSMUSG00000065680	ENSMUST00000083746	X73829_f_at
ENSMUSG00000098458	ENSMUST00000183497	Msa.8395.0_s_at
ENSMUSG00000098597	ENSMUST00000185075	Msa.1642.0_f_at
ENSMUSG00000098597	ENSMUST00000185075	Msa.9761.0_f_at
ENSMUSG00000104854	ENSMUST00000195956	Msa.7212.0_s_at
ENSMUSG00000098320	ENSMUST00000183957	Msa.265.0_at
ENSMUSG00000087993	ENSMUST00000157368	Msa.2985.0_at
ENSMUSG00000098955	ENSMUST00000183615	Msa.401.0_f_at
ENSMUSG00000065434	ENSMUST00000083500	Msa.29035.0_s_at
ENSMUSG00000095118	ENSMUST00000083424	Msa.778.0_f_at
ENSMUSG00000095118	ENSMUST00000083424	Msa.34101.0_f_at
ENSMUSG00000098961	ENSMUST00000184701	Msa.2229.0_at
ENSMUSG00000098961	ENSMUST00000184701	Msa.2229.0_g_at
ENSMUSG00000098465	ENSMUST00000184114	Msa.15879.0_s_at
ENSMUSG00000098465	ENSMUST00000184114	Msa.7780.0_s_at
ENSMUSG00000096271	ENSMUST00000178765	Msa.3605.0_s_at
ENSMUSG00000088835	ENSMUST00000158210	Msa.2170.0_f_at
ENSMUSG00000098457	ENSMUST00000185150	Msa.2310.0_at
ENSMUSG00000057605	ENSMUST00000077435	x81987_f_at
ENSMUSG00000057605	ENSMUST00000077435	Msa.2713.0_f_at
ENSMUSG00000093365	ENSMUST00000175624	Msa.401.0_f_at
ENSMUSG00000093273	ENSMUST00000175532	X65627_f_at
ENSMUSG00000093273	ENSMUST00000175532	Msa.2334.0_f_at
ENSMUSG00000098513	ENSMUST00000184050	Msa.42016.0_s_at
ENSMUSG00000065219	ENSMUST00000083285	X51528_f_at
ENSMUSG00000065219	ENSMUST00000083285	Msa.3380.0_f_at
ENSMUSG00000104627	ENSMUST00000197651	X07699_s_at
ENSMUSG00000088712	ENSMUST00000158087	Msa.3276.0_s_at
ENSMUSG00000105924	ENSMUST00000200671	Msa.1311.0_at
ENSMUSG00000098331	ENSMUST00000184765	Msa.6108.0_s_at
ENSMUSG00000098331	ENSMUST00000184765	Msa.16145.0_s_at
ENSMUSG00000098267	ENSMUST00000183486	Msa.1470.0_at
ENSMUSG00000104996	ENSMUST00000198919	W51687_rc_i_at
ENSMUSG00000075770	ENSMUST00000101824	Msa.4225.0_f_at
ENSMUSG00000064837	ENSMUST00000082903	X07699_s_at
ENSMUSG00000089542	ENSMUST00000158917	x03040_f_at
ENSMUSG00000089542	ENSMUST00000158917	Msa.1313.0_f_at
ENSMUSG00000064780	ENSMUST00000082846	x75313_f_at
ENSMUSG00000064780	ENSMUST00000082846	Msa.1827.0_f_at
ENSMUSG00000093178	ENSMUST00000175437	w35693_s_at
ENSMUSG00000065862	ENSMUST00000083928	x03040_f_at
ENSMUSG00000065862	ENSMUST00000083928	Msa.1313.0_f_at
ENSMUSG00000065628	ENSMUST00000083694	X51528_f_at
ENSMUSG00000065628	ENSMUST00000083694	Msa.3380.0_f_at
ENSMUSG00000105496	ENSMUST00000200215	Msa.20248.0_s_at
ENSMUSG00000080582	ENSMUST00000116932	w54374_s_at
ENSMUSG00000084523	ENSMUST00000122574	Msa.10100.0_s_at
ENSMUSG00000099226	ENSMUST00000184075	Msa.22967.0_s_at
ENSMUSG00000099259	ENSMUST00000185099	Msa.27761.0_s_at
ENSMUSG00000099259	ENSMUST00000185099	Msa.24483.0_s_at
ENSMUSG00000064696	ENSMUST00000082762	X07699_s_at
ENSMUSG00000106591	ENSMUST00000199539	Msa.24520.0_s_at
ENSMUSG00000051412	ENSMUST00000051100	X96737_s_at
ENSMUSG00000096873	ENSMUST00000178081	Msa.3605.0_s_at
ENSMUSG00000106431	ENSMUST00000197012	Msa.2871.0_at
ENSMUSG00000064841	ENSMUST00000082907	Msa.28808.0_f_at
ENSMUSG00000096263	ENSMUST00000101927	Msa.778.0_f_at
ENSMUSG00000096263	ENSMUST00000101927	Msa.34101.0_f_at
ENSMUSG00000088634	ENSMUST00000158009	Msa.18698.0_s_at
ENSMUSG00000077931	ENSMUST00000104738	Msa.19851.0_s_at
ENSMUSG00000064563	ENSMUST00000082629	Msa.1147.0_at
ENSMUSG00000098774	ENSMUST00000183859	Msa.9076.0_s_at
ENSMUSG00000093133	ENSMUST00000175392	X65627_f_at
ENSMUSG00000093133	ENSMUST00000175392	Msa.2334.0_f_at
ENSMUSG00000095221	ENSMUST00000179812	Msa.235.0_at
ENSMUSG00000076010	ENSMUST00000102056	Msa.1695.0_g_at
ENSMUSG00000064751	ENSMUST00000082817	X73829_f_at
ENSMUSG00000076138	ENSMUST00000102184	Msa.1312.0_f_at
ENSMUSG00000076138	ENSMUST00000102184	Msa.17018.0_f_at
ENSMUSG00000102478	ENSMUST00000191852	Msa.35892.0_s_at
ENSMUSG00000102478	ENSMUST00000195236	Msa.35892.0_s_at
ENSMUSG00000073489	ENSMUST00000111214	Msa.853.0_f_at
ENSMUSG00000032193	ENSMUST00000034713	x64414_s_at
ENSMUSG00000032193	ENSMUST00000213114	x64414_s_at
ENSMUSG00000032193	ENSMUST00000214549	x64414_s_at
ENSMUSG00000017831	ENSMUST00000017975	Msa.23303.0_s_at
ENSMUSG00000029648	ENSMUST00000031653	Msa.19499.0_s_at
ENSMUSG00000029648	ENSMUST00000110529	Msa.19499.0_s_at
ENSMUSG00000029648	ENSMUST00000200895	Msa.19499.0_s_at
ENSMUSG00000001506	ENSMUST00000001547	Msa.117.0_f_at
ENSMUSG00000005681	ENSMUST00000111321	Msa.17406.0_f_at
ENSMUSG00000005681	ENSMUST00000111321	x62772_f_at
ENSMUSG00000005681	ENSMUST00000111321	x04119_f_at
ENSMUSG00000005681	ENSMUST00000111321	Msa.9072.0_f_at
ENSMUSG00000005681	ENSMUST00000005824	Msa.17406.0_f_at
ENSMUSG00000005681	ENSMUST00000005824	x62772_f_at
ENSMUSG00000005681	ENSMUST00000005824	x04119_f_at
ENSMUSG00000005681	ENSMUST00000111320	x62772_f_at
ENSMUSG00000005681	ENSMUST00000111320	x04119_f_at
ENSMUSG00000005681	ENSMUST00000111319	Msa.17406.0_f_at
ENSMUSG00000005681	ENSMUST00000111319	x62772_f_at
ENSMUSG00000005681	ENSMUST00000111319	x04119_f_at
ENSMUSG00000031320	ENSMUST00000033683	Msa.32345.0_f_at
ENSMUSG00000028017	ENSMUST00000029653	v00741_s_at
ENSMUSG00000028017	ENSMUST00000197079	v00741_s_at
ENSMUSG00000028017	ENSMUST00000199615	v00741_s_at
ENSMUSG00000028017	ENSMUST00000197250	v00741_s_at
ENSMUSG00000040276	ENSMUST00000045896	X85124_s_at
ENSMUSG00000040276	ENSMUST00000232437	X85124_s_at
ENSMUSG00000040276	ENSMUST00000231669	X85124_s_at
ENSMUSG00000058715	ENSMUST00000079957	Msa.641.0_s_at
ENSMUSG00000058715	ENSMUST00000193973	Msa.641.0_s_at
ENSMUSG00000058715	ENSMUST00000150997	Msa.641.0_s_at
ENSMUSG00000048163	ENSMUST00000201931	X91144_s_at
ENSMUSG00000048163	ENSMUST00000100874	X91144_s_at
ENSMUSG00000048163	ENSMUST00000201194	X91144_s_at
ENSMUSG00000048163	ENSMUST00000202555	X91144_s_at
ENSMUSG00000048163	ENSMUST00000199109	X91144_s_at
ENSMUSG00000034566	ENSMUST00000137563	Msa.3796.0_f_at
ENSMUSG00000034566	ENSMUST00000106537	Msa.3796.0_f_at
ENSMUSG00000034566	ENSMUST00000043931	Msa.3796.0_f_at
ENSMUSG00000034566	ENSMUST00000073791	Msa.3796.0_f_at
ENSMUSG00000034566	ENSMUST00000137754	Msa.3796.0_f_at
ENSMUSG00000034566	ENSMUST00000138779	Msa.3796.0_f_at
ENSMUSG00000034566	ENSMUST00000180072	Msa.3796.0_f_at
ENSMUSG00000084331	ENSMUST00000122020	Msa.4694.0_f_at
ENSMUSG00000034623	ENSMUST00000171503	Msa.38048.0_s_at
ENSMUSG00000034623	ENSMUST00000089338	Msa.38048.0_s_at
ENSMUSG00000034623	ENSMUST00000169113	Msa.38048.0_s_at
ENSMUSG00000022556	ENSMUST00000228868	X61753_s_at
ENSMUSG00000022556	ENSMUST00000228757	X61753_s_at
ENSMUSG00000022556	ENSMUST00000226872	X61753_s_at
ENSMUSG00000022556	ENSMUST00000072838	X61753_s_at
ENSMUSG00000022556	ENSMUST00000227478	X61753_s_at
ENSMUSG00000022556	ENSMUST00000228371	X61753_s_at
ENSMUSG00000022556	ENSMUST00000226860	X61753_s_at
ENSMUSG00000022556	ENSMUST00000229363	X61753_s_at
ENSMUSG00000022556	ENSMUST00000226238	X61753_s_at
ENSMUSG00000022556	ENSMUST00000228781	X61753_s_at
ENSMUSG00000022556	ENSMUST00000230505	X61753_s_at
ENSMUSG00000022556	ENSMUST00000228688	X61753_s_at
ENSMUSG00000021670	ENSMUST00000022176	Msa.756.0_g_at
ENSMUSG00000021670	ENSMUST00000022176	Msa.2345.0_at
ENSMUSG00000021670	ENSMUST00000022176	Msa.756.0_at
ENSMUSG00000021670	ENSMUST00000168855	Msa.756.0_g_at
ENSMUSG00000021670	ENSMUST00000168855	Msa.2345.0_at
ENSMUSG00000021670	ENSMUST00000168855	Msa.756.0_at
ENSMUSG00000021670	ENSMUST00000169945	Msa.756.0_g_at
ENSMUSG00000021670	ENSMUST00000169945	Msa.756.0_at
ENSMUSG00000021670	ENSMUST00000170287	Msa.2345.0_at
ENSMUSG00000021670	ENSMUST00000170287	Msa.756.0_at
ENSMUSG00000021670	ENSMUST00000169202	Msa.756.0_g_at
ENSMUSG00000021670	ENSMUST00000169202	Msa.756.0_at
ENSMUSG00000021670	ENSMUST00000163201	Msa.2345.0_at
ENSMUSG00000021670	ENSMUST00000169196	Msa.2345.0_at
ENSMUSG00000021670	ENSMUST00000172440	Msa.2345.0_at
ENSMUSG00000021670	ENSMUST00000169966	Msa.2345.0_at
ENSMUSG00000021670	ENSMUST00000171537	Msa.2345.0_at
ENSMUSG00000021670	ENSMUST00000168374	Msa.2345.0_at
ENSMUSG00000016253	ENSMUST00000109075	w29643_s_at
ENSMUSG00000016253	ENSMUST00000016397	w29643_s_at
ENSMUSG00000016253	ENSMUST00000139390	w29643_s_at
ENSMUSG00000016253	ENSMUST00000137986	w29643_s_at
ENSMUSG00000021975	ENSMUST00000043914	w48172_s_at
ENSMUSG00000021975	ENSMUST00000239450	w48172_s_at
ENSMUSG00000020673	ENSMUST00000021005	x60703-2_s_at
ENSMUSG00000016256	ENSMUST00000016400	Msa.3665.0_s_at
ENSMUSG00000059475	ENSMUST00000168095	Msa.38150.0_s_at
ENSMUSG00000059475	ENSMUST00000115562	Msa.38150.0_s_at
ENSMUSG00000059475	ENSMUST00000167457	Msa.38150.0_s_at
ENSMUSG00000059475	ENSMUST00000169558	Msa.38150.0_s_at
ENSMUSG00000059475	ENSMUST00000080386	Msa.38150.0_s_at
ENSMUSG00000059475	ENSMUST00000163348	Msa.38150.0_s_at
ENSMUSG00000059475	ENSMUST00000166465	Msa.38150.0_s_at
ENSMUSG00000059475	ENSMUST00000164825	Msa.38150.0_s_at
ENSMUSG00000059475	ENSMUST00000166005	Msa.38150.0_s_at
ENSMUSG00000002007	ENSMUST00000002081	Msa.42939.0_s_at
ENSMUSG00000002007	ENSMUST00000002081	Msa.29593.0_s_at
ENSMUSG00000002007	ENSMUST00000136664	Msa.42939.0_s_at
ENSMUSG00000002007	ENSMUST00000136664	Msa.29593.0_s_at
ENSMUSG00000002007	ENSMUST00000137045	Msa.42939.0_s_at
ENSMUSG00000002007	ENSMUST00000139630	Msa.42939.0_s_at
ENSMUSG00000026496	ENSMUST00000027777	Msa.2151.0_s_at
ENSMUSG00000026496	ENSMUST00000193238	Msa.2151.0_s_at
ENSMUSG00000026496	ENSMUST00000191833	Msa.2151.0_s_at
ENSMUSG00000024217	ENSMUST00000232873	Msa.2743.0_f_at
ENSMUSG00000026574	ENSMUST00000027861	Msa.6450.0_s_at
ENSMUSG00000027104	ENSMUST00000124737	w15790_s_at
ENSMUSG00000027104	ENSMUST00000112010	w15790_s_at
ENSMUSG00000027104	ENSMUST00000090802	w15790_s_at
ENSMUSG00000027104	ENSMUST00000055833	w15790_s_at
ENSMUSG00000027104	ENSMUST00000112007	w15790_s_at
ENSMUSG00000027104	ENSMUST00000112016	w15790_s_at
ENSMUSG00000027104	ENSMUST00000156455	w15790_s_at
ENSMUSG00000027104	ENSMUST00000100009	w15790_s_at
ENSMUSG00000032562	ENSMUST00000192615	Msa.22597.0_f_at
ENSMUSG00000032562	ENSMUST00000192615	Msa.698.0_f_at
ENSMUSG00000032562	ENSMUST00000055704	Msa.22597.0_f_at
ENSMUSG00000032562	ENSMUST00000055704	Msa.698.0_f_at
ENSMUSG00000032562	ENSMUST00000193538	Msa.22597.0_f_at
ENSMUSG00000032562	ENSMUST00000193538	Msa.698.0_f_at
ENSMUSG00000032562	ENSMUST00000195231	Msa.22597.0_f_at
ENSMUSG00000032562	ENSMUST00000195231	Msa.698.0_f_at
ENSMUSG00000032562	ENSMUST00000193372	Msa.22597.0_f_at
ENSMUSG00000032562	ENSMUST00000193372	Msa.698.0_f_at
ENSMUSG00000032562	ENSMUST00000193394	Msa.22597.0_f_at
ENSMUSG00000032562	ENSMUST00000193394	Msa.698.0_f_at
ENSMUSG00000039639	ENSMUST00000051705	X60457_s_at
ENSMUSG00000039639	ENSMUST00000166707	X60457_s_at
ENSMUSG00000082233	ENSMUST00000119775	Msa.16214.0_f_at
ENSMUSG00000030278	ENSMUST00000113089	Msa.1197.0_s_at
ENSMUSG00000030278	ENSMUST00000032416	Msa.1197.0_s_at
ENSMUSG00000035804	ENSMUST00000039652	Msa.2390.0_at
ENSMUSG00000033970	ENSMUST00000038131	Msa.3756.0_s_at
ENSMUSG00000033970	ENSMUST00000038131	Msa.7761.0_s_at
ENSMUSG00000033970	ENSMUST00000145106	Msa.3756.0_s_at
ENSMUSG00000033970	ENSMUST00000145106	Msa.7761.0_s_at
ENSMUSG00000033970	ENSMUST00000140067	Msa.3756.0_s_at
ENSMUSG00000033970	ENSMUST00000140067	Msa.7761.0_s_at
ENSMUSG00000033970	ENSMUST00000132709	Msa.7761.0_s_at
ENSMUSG00000028070	ENSMUST00000029708	w83013_s_at
ENSMUSG00000032293	ENSMUST00000034843	Msa.31461.0_s_at
ENSMUSG00000032293	ENSMUST00000034843	Z31330_at
ENSMUSG00000016252	ENSMUST00000016396	w13595_s_at
ENSMUSG00000016252	ENSMUST00000016396	Msa.3690.0_s_at
ENSMUSG00000016252	ENSMUST00000149191	w13595_s_at
ENSMUSG00000016252	ENSMUST00000149191	Msa.3690.0_s_at
ENSMUSG00000016252	ENSMUST00000153132	w13595_s_at
ENSMUSG00000016252	ENSMUST00000153132	Msa.3690.0_s_at
ENSMUSG00000028640	ENSMUST00000030391	X94694_s_at
ENSMUSG00000028640	ENSMUST00000128406	X94694_s_at
ENSMUSG00000028640	ENSMUST00000122982	X94694_s_at
ENSMUSG00000028640	ENSMUST00000099058	X94694_s_at
ENSMUSG00000028640	ENSMUST00000170744	X94694_s_at
ENSMUSG00000036478	ENSMUST00000038377	Msa.485.0_f_at
ENSMUSG00000022157	ENSMUST00000015594	Msa.2229.0_at
ENSMUSG00000022157	ENSMUST00000015594	Msa.2229.0_g_at
ENSMUSG00000022157	ENSMUST00000225107	Msa.2229.0_at
ENSMUSG00000022157	ENSMUST00000225107	Msa.2229.0_g_at
ENSMUSG00000039997	ENSMUST00000123708	Msa.41362.0_f_at
ENSMUSG00000039997	ENSMUST00000156895	Msa.41362.0_f_at
ENSMUSG00000039997	ENSMUST00000128430	Msa.41362.0_f_at
ENSMUSG00000039997	ENSMUST00000129829	Msa.41362.0_f_at
ENSMUSG00000039997	ENSMUST00000042228	Msa.41362.0_f_at
ENSMUSG00000039997	ENSMUST00000081216	Msa.41362.0_f_at
ENSMUSG00000027827	ENSMUST00000049230	x97281_s_at
ENSMUSG00000027827	ENSMUST00000161404	x97281_s_at
ENSMUSG00000027827	ENSMUST00000161979	x97281_s_at
ENSMUSG00000045104	ENSMUST00000060477	Msa.2417.0_f_at
ENSMUSG00000045104	ENSMUST00000060477	X51905_f_at
ENSMUSG00000029819	ENSMUST00000031843	Msa.15880.0_s_at
ENSMUSG00000043962	ENSMUST00000080919	w64108_s_at
ENSMUSG00000043962	ENSMUST00000140390	w64108_s_at
ENSMUSG00000043962	ENSMUST00000163459	w64108_s_at
ENSMUSG00000043962	ENSMUST00000154702	w64108_s_at
ENSMUSG00000028979	ENSMUST00000105701	Msa.6555.0_s_at
ENSMUSG00000028979	ENSMUST00000052060	Msa.6555.0_s_at
ENSMUSG00000028979	ENSMUST00000154898	Msa.6555.0_s_at
ENSMUSG00000028979	ENSMUST00000136647	Msa.6555.0_s_at
