Gene stable ID	Transcript stable ID	AFFY MG U74Cv2 probe
ENSMUSG00000078129	ENSMUST00000104928	168046_at
ENSMUSG00000065422	ENSMUST00000083488	136191_at
ENSMUSG00000094391	ENSMUST00000179532	166032_f_at
ENSMUSG00000065110	ENSMUST00000083176	139841_at
ENSMUSG00000087938	ENSMUST00000157313	140429_f_at
ENSMUSG00000087938	ENSMUST00000157313	132223_at
ENSMUSG00000087938	ENSMUST00000157313	140428_i_at
ENSMUSG00000105465	ENSMUST00000196757	139179_r_at
ENSMUSG00000105465	ENSMUST00000196757	139178_f_at
ENSMUSG00000076012	ENSMUST00000102058	139261_at
ENSMUSG00000106154	ENSMUST00000197929	169081_at
ENSMUSG00000079222	ENSMUST00000111423	131389_at
ENSMUSG00000093816	ENSMUST00000177557	135498_at
ENSMUSG00000065469	ENSMUST00000083535	133132_at
ENSMUSG00000088351	ENSMUST00000157726	167494_f_at
ENSMUSG00000065124	ENSMUST00000083190	165868_f_at
ENSMUSG00000077202	ENSMUST00000104014	139538_at
ENSMUSG00000069475	ENSMUST00000092094	140565_f_at
ENSMUSG00000064741	ENSMUST00000082807	134043_at
ENSMUSG00000099189	ENSMUST00000184425	170221_at
ENSMUSG00000094474	ENSMUST00000177582	130548_at
ENSMUSG00000098395	ENSMUST00000184902	139503_at
ENSMUSG00000080669	ENSMUST00000117019	136675_at
ENSMUSG00000084564	ENSMUST00000122615	139516_g_at
ENSMUSG00000076068	ENSMUST00000102114	165433_at
ENSMUSG00000105060	ENSMUST00000199062	169018_at
ENSMUSG00000096728	ENSMUST00000178296	130586_at
ENSMUSG00000065574	ENSMUST00000083640	134794_at
ENSMUSG00000064796	ENSMUST00000082862	129443_at
ENSMUSG00000091037	ENSMUST00000170317	141035_i_at
ENSMUSG00000091037	ENSMUST00000170317	141036_f_at
ENSMUSG00000080533	ENSMUST00000116883	133737_at
ENSMUSG00000065817	ENSMUST00000083883	135584_at
ENSMUSG00000077564	ENSMUST00000104376	133729_at
ENSMUSG00000088139	ENSMUST00000157514	131634_at
ENSMUSG00000065887	ENSMUST00000083953	166793_r_at
ENSMUSG00000098623	ENSMUST00000184382	138129_at
ENSMUSG00000084565	ENSMUST00000122616	139209_at
ENSMUSG00000076451	ENSMUST00000103252	138993_r_at
ENSMUSG00000064602	ENSMUST00000082668	169018_at
ENSMUSG00000098599	ENSMUST00000183644	139503_at
ENSMUSG00000098830	ENSMUST00000183676	166174_r_at
ENSMUSG00000092730	ENSMUST00000174989	165862_f_at
ENSMUSG00000077387	ENSMUST00000104199	133458_at
ENSMUSG00000095523	ENSMUST00000180303	130548_at
ENSMUSG00000105468	ENSMUST00000198998	137714_at
ENSMUSG00000098251	ENSMUST00000183864	131704_at
ENSMUSG00000092972	ENSMUST00000175231	138139_at
ENSMUSG00000065259	ENSMUST00000083325	130336_at
ENSMUSG00000065471	ENSMUST00000083537	136191_at
ENSMUSG00000089317	ENSMUST00000158692	134513_f_at
ENSMUSG00000092870	ENSMUST00000175129	138545_at
ENSMUSG00000096550	ENSMUST00000178337	130548_at
ENSMUSG00000098362	ENSMUST00000184489	131452_at
ENSMUSG00000065485	ENSMUST00000083551	138192_at
ENSMUSG00000064612	ENSMUST00000082678	169018_at
ENSMUSG00000089004	ENSMUST00000158379	167481_at
ENSMUSG00000106014	ENSMUST00000195891	166701_at
ENSMUSG00000114214	ENSMUST00000224339	166023_f_at
ENSMUSG00000024754	ENSMUST00000025663	166334_at
ENSMUSG00000024754	ENSMUST00000096194	166334_at
ENSMUSG00000112290	ENSMUST00000218518	133707_at
ENSMUSG00000027505	ENSMUST00000029007	165899_f_at
ENSMUSG00000021585	ENSMUST00000222588	133673_f_at
ENSMUSG00000021585	ENSMUST00000223206	133673_f_at
ENSMUSG00000021585	ENSMUST00000221873	130315_at
ENSMUSG00000021585	ENSMUST00000221208	130315_at
ENSMUSG00000087424	ENSMUST00000127521	134337_at
ENSMUSG00000087424	ENSMUST00000130099	134337_at
ENSMUSG00000029648	ENSMUST00000031653	167596_at
ENSMUSG00000051220	ENSMUST00000056904	133431_at
ENSMUSG00000094672	ENSMUST00000162046	168442_r_at
ENSMUSG00000094672	ENSMUST00000233160	168442_r_at
ENSMUSG00000094672	ENSMUST00000233622	168442_r_at
ENSMUSG00000009418	ENSMUST00000067414	140438_at
ENSMUSG00000009418	ENSMUST00000040599	140438_at
ENSMUSG00000020137	ENSMUST00000218842	134709_r_at
ENSMUSG00000020137	ENSMUST00000020346	134709_r_at
ENSMUSG00000116965	ENSMUST00000231748	135273_at
ENSMUSG00000028546	ENSMUST00000106603	137513_at
ENSMUSG00000028546	ENSMUST00000102723	137513_at
ENSMUSG00000028546	ENSMUST00000106598	137513_at
ENSMUSG00000028546	ENSMUST00000106597	137513_at
ENSMUSG00000028546	ENSMUST00000102722	137513_at
ENSMUSG00000028546	ENSMUST00000106600	137513_at
ENSMUSG00000028546	ENSMUST00000106601	137513_at
ENSMUSG00000082226	ENSMUST00000117865	169711_at
ENSMUSG00000057072	ENSMUST00000192151	171461_f_at
ENSMUSG00000057072	ENSMUST00000077889	171461_f_at
ENSMUSG00000038323	ENSMUST00000042734	165586_f_at
ENSMUSG00000025323	ENSMUST00000026367	167976_i_at
ENSMUSG00000021670	ENSMUST00000022176	166342_r_at
ENSMUSG00000052099	ENSMUST00000063785	167652_i_at
ENSMUSG00000052099	ENSMUST00000224112	167652_i_at
ENSMUSG00000052099	ENSMUST00000165710	167652_i_at
ENSMUSG00000052099	ENSMUST00000170709	167652_i_at
ENSMUSG00000091685	ENSMUST00000195157	168266_r_at
ENSMUSG00000091685	ENSMUST00000195157	134125_at
ENSMUSG00000091685	ENSMUST00000199658	168266_r_at
ENSMUSG00000091685	ENSMUST00000199658	134125_at
