Gene stable ID	Transcript stable ID	AFFY HG U133B probe
ENSG00000212907	ENST00000361335	224372_at
ENSG00000212907	ENST00000361335	224373_s_at
ENSG00000198886	ENST00000361381	224372_at
ENSG00000198886	ENST00000361381	224373_s_at
ENSG00000210176	ENST00000387441	224372_at
ENSG00000274882	ENST00000624011	244785_at
ENSG00000274882	ENST00000623709	244785_at
ENSG00000276333	ENST00000293937	239547_at
ENSG00000274891	ENST00000630734	229556_at
ENSG00000263090	ENST00000572513	233631_x_at
ENSG00000262749	ENST00000571096	234679_at
ENSG00000262512	ENST00000575341	233640_x_at
ENSG00000280830	ENST00000627048	241443_at
ENSG00000280830	ENST00000627048	222400_s_at
ENSG00000261992	ENST00000576342	238076_at
ENSG00000261992	ENST00000576342	225393_at
ENSG00000277101	ENST00000630534	233903_s_at
ENSG00000277101	ENST00000630534	227197_at
ENSG00000277101	ENST00000629129	227197_at
ENSG00000277101	ENST00000630729	233903_s_at
ENSG00000277101	ENST00000630729	227197_at
ENSG00000277101	ENST00000614308	233903_s_at
ENSG00000277101	ENST00000614308	227197_at
ENSG00000277101	ENST00000618535	233903_s_at
ENSG00000277101	ENST00000618535	227197_at
ENSG00000281763	ENST00000627269	223140_s_at
ENSG00000281763	ENST00000630672	223140_s_at
ENSG00000281763	ENST00000626678	223140_s_at
ENSG00000281763	ENST00000630381	223140_s_at
ENSG00000281763	ENST00000628280	223140_s_at
ENSG00000282233	ENST00000631505	229689_s_at
ENSG00000281935	ENST00000631855	229738_at
ENSG00000281935	ENST00000633424	229738_at
ENSG00000280066	ENST00000623683	240439_at
ENSG00000274746	ENST00000614218	238791_at
ENSG00000282770	ENST00000632893	239565_at
ENSG00000282770	ENST00000632821	239565_at
ENSG00000263101	ENST00000572132	233681_at
ENSG00000263296	ENST00000575409	233534_at
ENSG00000262068	ENST00000571440	233537_at
ENSG00000262068	ENST00000580358	233537_at
ENSG00000261862	ENST00000572212	233533_at
ENSG00000262347	ENST00000575715	234880_x_at
ENSG00000261852	ENST00000571136	234691_at
ENSG00000261852	ENST00000617413	234691_at
ENSG00000262731	ENST00000573155	234772_s_at
ENSG00000262731	ENST00000614687	234772_s_at
ENSG00000261968	ENST00000574631	234631_at
ENSG00000261968	ENST00000612944	234631_at
ENSG00000262121	ENST00000574465	234685_x_at
ENSG00000263229	ENST00000573418	234633_at
ENSG00000263236	ENST00000571271	224269_at
ENSG00000276197	ENST00000619317	225762_x_at
ENSG00000273937	ENST00000614535	225762_x_at
ENSG00000262573	ENST00000571104	233631_x_at
ENSG00000262896	ENST00000570861	233640_x_at
ENSG00000263322	ENST00000575446	240472_at
ENSG00000262102	ENST00000572659	244852_at
ENSG00000262102	ENST00000572659	232235_at
ENSG00000262102	ENST00000572659	232825_s_at
ENSG00000281313	ENST00000627632	234901_at
ENSG00000281942	ENST00000633007	233474_at
ENSG00000282330	ENST00000633342	231952_at
ENSG00000276256	ENST00000612465	225046_at
ENSG00000276256	ENST00000612465	225062_at
ENSG00000278666	ENST00000627950	224623_at
ENSG00000278666	ENST00000613037	224623_at
ENSG00000278666	ENST00000630390	224623_at
ENSG00000278666	ENST00000629264	224623_at
ENSG00000278666	ENST00000629579	224623_at
ENSG00000282753	ENST00000631713	243870_at
ENSG00000275495	ENST00000630275	224623_at
ENSG00000275495	ENST00000622006	224623_at
ENSG00000275495	ENST00000631240	224623_at
ENSG00000275495	ENST00000630210	224623_at
ENSG00000275495	ENST00000629731	224623_at
ENSG00000275326	ENST00000620516	226992_at
ENSG00000275326	ENST00000611498	226992_at
ENSG00000275326	ENST00000614842	226992_at
ENSG00000275326	ENST00000610378	226992_at
ENSG00000275326	ENST00000610364	226992_at
ENSG00000275326	ENST00000618893	226992_at
ENSG00000275326	ENST00000614172	226992_at
ENSG00000275326	ENST00000614613	226992_at
ENSG00000279215	ENST00000624006	236656_s_at
ENSG00000276856	ENST00000620361	227967_at
ENSG00000278759	ENST00000633825	229192_s_at
ENSG00000278759	ENST00000633032	229192_s_at
ENSG00000278759	ENST00000612762	229191_at
ENSG00000278759	ENST00000612762	229192_s_at
ENSG00000278759	ENST00000631706	229192_s_at
ENSG00000278759	ENST00000632595	229191_at
ENSG00000278759	ENST00000632595	229192_s_at
ENSG00000278759	ENST00000633166	229191_at
ENSG00000278759	ENST00000633166	229192_s_at
ENSG00000278759	ENST00000633381	229191_at
ENSG00000278759	ENST00000633381	229192_s_at
ENSG00000274679	ENST00000618495	223360_at
ENSG00000274679	ENST00000621926	223360_at
ENSG00000277429	ENST00000621283	223538_at
ENSG00000277429	ENST00000621283	223539_s_at
ENSG00000277429	ENST00000628627	223539_s_at
ENSG00000277429	ENST00000613172	223539_s_at
ENSG00000277429	ENST00000625862	223539_s_at
ENSG00000277429	ENST00000626049	223539_s_at
ENSG00000277429	ENST00000628126	223538_at
ENSG00000277429	ENST00000628126	223539_s_at
ENSG00000277429	ENST00000627838	223539_s_at
ENSG00000277429	ENST00000630348	223539_s_at
ENSG00000277429	ENST00000627673	223538_at
ENSG00000281953	ENST00000632171	234424_at
ENSG00000261846	ENST00000576369	240420_at
ENSG00000261846	ENST00000570799	240420_at
ENSG00000263160	ENST00000573757	228001_at
ENSG00000263160	ENST00000571778	225182_at
ENSG00000263160	ENST00000571778	222907_x_at
ENSG00000263160	ENST00000571778	228001_at
ENSG00000263160	ENST00000570948	225182_at
ENSG00000263160	ENST00000570948	228001_at
ENSG00000263160	ENST00000573907	225182_at
ENSG00000263160	ENST00000573374	225182_at
ENSG00000263160	ENST00000573374	222907_x_at
ENSG00000263160	ENST00000572455	222907_x_at
ENSG00000263160	ENST00000573687	222907_x_at
ENSG00000273793	ENST00000625578	238594_x_at
ENSG00000273793	ENST00000617829	238594_x_at
ENSG00000262788	ENST00000631682	224903_at
ENSG00000262788	ENST00000575702	230656_s_at
ENSG00000262788	ENST00000575702	224903_at
ENSG00000262788	ENST00000633692	230656_s_at
ENSG00000262788	ENST00000633692	224903_at
ENSG00000262788	ENST00000632079	230656_s_at
ENSG00000262788	ENST00000632079	224903_at
ENSG00000262788	ENST00000634106	230656_s_at
ENSG00000262788	ENST00000634106	224903_at
ENSG00000275987	ENST00000618083	242884_at
ENSG00000281645	ENST00000629767	242841_at
ENSG00000281733	ENST00000626916	240441_at
ENSG00000281733	ENST00000631114	240441_at
ENSG00000281783	ENST00000629833	240441_at
ENSG00000281240	ENST00000627970	242841_at
ENSG00000278165	ENST00000629053	238594_x_at
ENSG00000278165	ENST00000610856	238594_x_at
ENSG00000275031	ENST00000633913	225955_at
ENSG00000275031	ENST00000633735	225955_at
ENSG00000275031	ENST00000634158	225955_at
ENSG00000275031	ENST00000616599	225955_at
ENSG00000262473	ENST00000574289	230766_at
ENSG00000262473	ENST00000575239	230766_at
ENSG00000280072	ENST00000625183	223923_at
ENSG00000275581	ENST00000627372	223538_at
ENSG00000275581	ENST00000627372	223539_s_at
ENSG00000275581	ENST00000614527	223539_s_at
ENSG00000275581	ENST00000625868	223539_s_at
ENSG00000275581	ENST00000628888	223539_s_at
ENSG00000275581	ENST00000629958	223539_s_at
ENSG00000275581	ENST00000630603	223538_at
ENSG00000275581	ENST00000630603	223539_s_at
ENSG00000275581	ENST00000627451	223539_s_at
ENSG00000275581	ENST00000614310	223538_at
ENSG00000275581	ENST00000630567	223539_s_at
ENSG00000281261	ENST00000629621	240441_at
ENSG00000281261	ENST00000629626	240441_at
ENSG00000281829	ENST00000631036	240441_at
ENSG00000281060	ENST00000627953	243774_at
ENSG00000281060	ENST00000627776	231941_s_at
ENSG00000281060	ENST00000629657	231941_s_at
ENSG00000281060	ENST00000626944	231941_s_at
ENSG00000281060	ENST00000629894	231941_s_at
ENSG00000281060	ENST00000630690	231941_s_at
ENSG00000281060	ENST00000630112	229820_at
ENSG00000281060	ENST00000626861	230077_at
ENSG00000281633	ENST00000627821	242841_at
ENSG00000281618	ENST00000625556	227886_at
ENSG00000281618	ENST00000625556	227863_at
ENSG00000281618	ENST00000630256	227886_at
ENSG00000281618	ENST00000630256	227863_at
ENSG00000281618	ENST00000626709	227863_at
ENSG00000277400	ENST00000613230	227330_x_at
ENSG00000277400	ENST00000613230	229748_x_at
ENSG00000277400	ENST00000613230	227715_at
ENSG00000274847	ENST00000400754	227330_x_at
ENSG00000274847	ENST00000400754	229748_x_at
ENSG00000274847	ENST00000400754	227715_at
ENSG00000275428	ENST00000633499	228245_s_at
ENSG00000275428	ENST00000632741	228245_s_at
ENSG00000275428	ENST00000621609	228245_s_at
ENSG00000275428	ENST00000631741	228245_s_at
ENSG00000281915	ENST00000630550	243774_at
ENSG00000281915	ENST00000626244	231941_s_at
ENSG00000281915	ENST00000626516	231941_s_at
ENSG00000281915	ENST00000630956	231941_s_at
ENSG00000281915	ENST00000628971	231941_s_at
ENSG00000281915	ENST00000630237	231941_s_at
ENSG00000281915	ENST00000627350	231941_s_at
ENSG00000281915	ENST00000625399	231941_s_at
ENSG00000281915	ENST00000626975	231941_s_at
ENSG00000281915	ENST00000628240	231941_s_at
ENSG00000281915	ENST00000626625	231941_s_at
ENSG00000281915	ENST00000627190	229820_at
ENSG00000281915	ENST00000630071	230077_at
ENSG00000276371	ENST00000633573	223038_s_at
ENSG00000276371	ENST00000617411	223038_s_at
ENSG00000276371	ENST00000633702	223038_s_at
ENSG00000276371	ENST00000631546	223038_s_at
ENSG00000276371	ENST00000633815	223038_s_at
ENSG00000276371	ENST00000632259	223038_s_at
ENSG00000276371	ENST00000632726	223038_s_at
ENSG00000273831	ENST00000611111	232554_at
ENSG00000275873	ENST00000632043	236050_at
ENSG00000275873	ENST00000621319	236050_at
ENSG00000263127	ENST00000571381	200089_s_at
ENSG00000272835	ENST00000625945	225794_s_at
ENSG00000272835	ENST00000625945	225795_at
ENSG00000272835	ENST00000607293	225794_s_at
ENSG00000272835	ENST00000607293	225795_at
ENSG00000272835	ENST00000628951	225794_s_at
ENSG00000272835	ENST00000628951	225795_at
ENSG00000276920	ENST00000616539	232201_at
ENSG00000276920	ENST00000610777	232201_at
ENSG00000276920	ENST00000629123	232201_at
ENSG00000276920	ENST00000625977	232201_at
ENSG00000274112	ENST00000630819	225794_s_at
ENSG00000274112	ENST00000630819	225795_at
ENSG00000274112	ENST00000615504	225794_s_at
ENSG00000274112	ENST00000615504	225795_at
ENSG00000274112	ENST00000630775	225794_s_at
ENSG00000274112	ENST00000630775	225795_at
ENSG00000280613	ENST00000628060	228117_at
ENSG00000280613	ENST00000630947	228117_at
ENSG00000278501	ENST00000613269	222841_s_at
ENSG00000278501	ENST00000613269	229100_s_at
ENSG00000276016	ENST00000613981	231400_s_at
ENSG00000276016	ENST00000620170	231400_s_at
ENSG00000280811	ENST00000627751	228117_at
ENSG00000280811	ENST00000630060	228117_at
ENSG00000280811	ENST00000630051	228117_at
ENSG00000280811	ENST00000627124	228117_at
ENSG00000275272	ENST00000615500	228556_at
ENSG00000275272	ENST00000615500	240459_at
ENSG00000275272	ENST00000613637	228556_at
ENSG00000275272	ENST00000613637	240459_at
ENSG00000275272	ENST00000627168	228556_at
ENSG00000275272	ENST00000627168	240459_at
ENSG00000275272	ENST00000625493	228556_at
ENSG00000282810	ENST00000634046	230710_at
ENSG00000282810	ENST00000634046	236480_at
ENSG00000282810	ENST00000632620	230710_at
ENSG00000282810	ENST00000633613	230710_at
ENSG00000282810	ENST00000632035	230710_at
ENSG00000274780	ENST00000633057	234952_s_at
ENSG00000274780	ENST00000616346	234952_s_at
ENSG00000274780	ENST00000633631	234952_s_at
ENSG00000274780	ENST00000632297	234952_s_at
ENSG00000274780	ENST00000634091	234952_s_at
ENSG00000276910	ENST00000628423	230177_at
ENSG00000276910	ENST00000628423	223758_s_at
ENSG00000276910	ENST00000627645	230177_at
ENSG00000276910	ENST00000425596	223758_s_at
ENSG00000276910	ENST00000612581	223758_s_at
ENSG00000276910	ENST00000630101	223758_s_at
ENSG00000276910	ENST00000626864	223758_s_at
ENSG00000276910	ENST00000625259	223758_s_at
ENSG00000276910	ENST00000626973	223758_s_at
ENSG00000275555	ENST00000616526	227938_s_at
ENSG00000275555	ENST00000616526	224215_s_at
ENSG00000275555	ENST00000630365	227938_s_at
ENSG00000281794	ENST00000631119	243774_at
ENSG00000281794	ENST00000626567	229820_at
ENSG00000281794	ENST00000625366	229820_at
ENSG00000281794	ENST00000630247	229820_at
ENSG00000281794	ENST00000625387	229820_at
ENSG00000281794	ENST00000625587	229820_at
ENSG00000281794	ENST00000628430	229820_at
ENSG00000281794	ENST00000629017	229820_at
ENSG00000281794	ENST00000628012	229820_at
ENSG00000281794	ENST00000630671	229820_at
ENSG00000281794	ENST00000630079	229820_at
ENSG00000281794	ENST00000629563	229820_at
ENSG00000281794	ENST00000630177	229820_at
ENSG00000281794	ENST00000628113	229820_at
ENSG00000281794	ENST00000626908	230077_at
ENSG00000280993	ENST00000628299	243774_at
ENSG00000280993	ENST00000627405	231941_s_at
ENSG00000280993	ENST00000630681	231941_s_at
ENSG00000280993	ENST00000625255	231941_s_at
ENSG00000280993	ENST00000627159	231941_s_at
ENSG00000280993	ENST00000630238	231941_s_at
ENSG00000280993	ENST00000630896	231941_s_at
ENSG00000280993	ENST00000629242	231941_s_at
ENSG00000280993	ENST00000625283	231941_s_at
ENSG00000280993	ENST00000626087	231941_s_at
ENSG00000280993	ENST00000630196	229820_at
ENSG00000280993	ENST00000630017	229820_at
ENSG00000280993	ENST00000625336	229820_at
ENSG00000280993	ENST00000631309	229820_at
ENSG00000280993	ENST00000630705	229820_at
ENSG00000280993	ENST00000629340	229820_at
ENSG00000280993	ENST00000625339	229820_at
ENSG00000280993	ENST00000626747	229820_at
ENSG00000280993	ENST00000628738	229820_at
ENSG00000280993	ENST00000625539	229820_at
ENSG00000280993	ENST00000631150	229820_at
ENSG00000280993	ENST00000628379	230077_at
ENSG00000275333	ENST00000619268	227895_at
ENSG00000275333	ENST00000622189	227895_at
ENSG00000275333	ENST00000617082	226774_at
ENSG00000275333	ENST00000617082	227895_at
ENSG00000275333	ENST00000616072	226774_at
ENSG00000275333	ENST00000616072	227895_at
ENSG00000275333	ENST00000630087	227895_at
ENSG00000272901	ENST00000608773	225794_s_at
ENSG00000272901	ENST00000608773	225795_at
ENSG00000272901	ENST00000571525	225794_s_at
ENSG00000272901	ENST00000571525	225795_at
ENSG00000272901	ENST00000606595	228117_at
ENSG00000272901	ENST00000606595	225795_at
ENSG00000272901	ENST00000616421	228117_at
ENSG00000275430	ENST00000627326	231941_s_at
ENSG00000275430	ENST00000627868	231941_s_at
ENSG00000275430	ENST00000630313	231941_s_at
ENSG00000275430	ENST00000616892	231941_s_at
ENSG00000275430	ENST00000630773	231941_s_at
ENSG00000275430	ENST00000630773	243774_at
ENSG00000275430	ENST00000629978	231941_s_at
ENSG00000273616	ENST00000614321	228117_at
ENSG00000273616	ENST00000613829	228117_at
ENSG00000281630	ENST00000625530	231941_s_at
ENSG00000281630	ENST00000629965	231941_s_at
ENSG00000281630	ENST00000626408	231941_s_at
ENSG00000281630	ENST00000628575	231941_s_at
ENSG00000281630	ENST00000628798	231941_s_at
ENSG00000281630	ENST00000628798	243774_at
ENSG00000281630	ENST00000631272	231941_s_at
ENSG00000281630	ENST00000625621	231941_s_at
ENSG00000281761	ENST00000629839	243962_at
ENSG00000281216	ENST00000629409	238617_at
ENSG00000276159	ENST00000610794	235818_at
ENSG00000273529	ENST00000612705	239230_at
ENSG00000273529	ENST00000627397	239230_at
ENSG00000274843	ENST00000631327	231941_s_at
ENSG00000274843	ENST00000630818	231941_s_at
ENSG00000274843	ENST00000616630	231941_s_at
ENSG00000274843	ENST00000627719	231941_s_at
