Gene stable ID	Transcript stable ID	AFFY DrosGenome1 probe
FBgn0035648	FBtr0113148	148242_at
FBgn0035648	FBtr0331563	148242_at
FBgn0032726	FBtr0342927	146461_at
FBgn0032726	FBtr0342926	146461_at
FBgn0032726	FBtr0081191	146461_at
FBgn0034948	FBtr0072204	152390_at
FBgn0036842	FBtr0075037	154822_at
FBgn0036842	FBtr0332648	154822_at
FBgn0029656	FBtr0070536	144436_at
FBgn0039558	FBtr0085269	142708_at
FBgn0025814	FBtr0077243	146619_i_at
FBgn0025814	FBtr0077243	146620_s_at
FBgn0025814	FBtr0077243	144097_at
FBgn0025814	FBtr0077242	146620_s_at
FBgn0025814	FBtr0345919	146620_s_at
FBgn0035235	FBtr0072826	141763_at
FBgn0035235	FBtr0072827	141763_at
FBgn0030509	FBtr0073811	145024_at
FBgn0037022	FBtr0078276	149146_at
FBgn0046114	FBtr0084336	151897_at
FBgn0046114	FBtr0334605	151897_at
FBgn0050103	FBtr0086929	142939_at
FBgn0013323	FBtr0346650	145540_at
FBgn0013323	FBtr0346726	145540_at
FBgn0013323	FBtr0333746	145540_at
FBgn0039495	FBtr0085114	150717_at
FBgn0023213	FBtr0089243	153267_at
FBgn0023213	FBtr0289951	153267_at
FBgn0023213	FBtr0112904	153267_at
FBgn0022986	FBtr0339537	152032_at
FBgn0022986	FBtr0071843	152032_at
FBgn0022986	FBtr0346637	152032_at
FBgn0035270	FBtr0332881	148001_at
FBgn0035270	FBtr0072792	148001_at
FBgn0028369	FBtr0309500	144253_at
FBgn0028369	FBtr0309501	144253_at
FBgn0028369	FBtr0070559	144253_at
FBgn0028369	FBtr0309499	144253_at
FBgn0028369	FBtr0070560	144253_at
FBgn0028369	FBtr0309498	144253_at
FBgn0028369	FBtr0332492	144253_at
FBgn0267348	FBtr0076382	153856_at
FBgn0267348	FBtr0345031	153856_at
FBgn0010407	FBtr0079978	143615_at
FBgn0038078	FBtr0082663	149795_at
FBgn0038099	FBtr0300278	149809_at
FBgn0053260	FBtr0302436	148766_at
FBgn0037338	FBtr0078688	154418_at
FBgn0037299	FBtr0305002	155138_at
FBgn0037299	FBtr0305001	155138_at
FBgn0037299	FBtr0078777	155138_at
FBgn0086605	FBtr0078949	154062_at
FBgn0086605	FBtr0344215	154062_at
FBgn0086605	FBtr0113192	154062_at
FBgn0260224	FBtr0300624	150642_at
FBgn0020258	FBtr0080638	143914_at
FBgn0033981	FBtr0087456	142190_at
FBgn0026086	FBtr0070300	141675_at
FBgn0026086	FBtr0339272	141675_at
FBgn0026086	FBtr0305499	141675_at
FBgn0026086	FBtr0307895	141675_at
FBgn0026086	FBtr0070299	141675_at
FBgn0026086	FBtr0309961	141675_at
FBgn0026086	FBtr0100557	141675_at
FBgn0026086	FBtr0305498	141675_at
FBgn0030244	FBtr0339835	144832_at
FBgn0030244	FBtr0073382	144832_at
FBgn0039544	FBtr0100446	150748_at
FBgn0029885	FBtr0070992	144605_at
FBgn0041723	FBtr0089855	146149_at
FBgn0032066	FBtr0340230	146049_at
FBgn0032066	FBtr0079744	146049_at
FBgn0022709	FBtr0076017	148641_at
FBgn0022709	FBtr0076018	148641_at
FBgn0037676	FBtr0301210	149549_at
FBgn0037676	FBtr0300335	149549_at
FBgn0050291	FBtr0071549	152775_at
FBgn0039659	FBtr0334875	150819_at
FBgn0039659	FBtr0334874	150819_at
FBgn0033426	FBtr0088523	152615_at
FBgn0033426	FBtr0088522	152615_at
FBgn0033426	FBtr0088521	152615_at
FBgn0260743	FBtr0334153	149719_at
FBgn0260743	FBtr0082484	149719_at
FBgn0032276	FBtr0080103	146176_at
FBgn0022710	FBtr0100142	143962_at
FBgn0022710	FBtr0332497	143962_at
FBgn0022710	FBtr0074073	143962_at
FBgn0003575	FBtr0340082	143370_at
FBgn0003575	FBtr0340081	143370_at
FBgn0003575	FBtr0070120	143370_at
FBgn0013718	FBtr0100039	142556_at
FBgn0013718	FBtr0100039	141334_at
FBgn0013718	FBtr0100039	151620_at
FBgn0013718	FBtr0306622	142556_at
FBgn0013718	FBtr0306622	141334_at
FBgn0013718	FBtr0306622	151620_at
FBgn0013718	FBtr0306619	142556_at
FBgn0013718	FBtr0306619	141334_at
FBgn0013718	FBtr0306619	151620_at
FBgn0013718	FBtr0306624	142556_at
FBgn0013718	FBtr0100043	142556_at
FBgn0013718	FBtr0100043	141334_at
FBgn0013718	FBtr0100043	151620_at
FBgn0013718	FBtr0307191	142556_at
FBgn0013718	FBtr0307191	141334_at
FBgn0013718	FBtr0307191	151620_at
FBgn0013718	FBtr0306623	142556_at
FBgn0013718	FBtr0306623	141334_at
FBgn0013718	FBtr0306623	151620_at
FBgn0013718	FBtr0100040	142556_at
FBgn0013718	FBtr0100042	142556_at
FBgn0013718	FBtr0100042	141334_at
FBgn0013718	FBtr0100042	151620_at
FBgn0013718	FBtr0100041	142556_at
FBgn0013718	FBtr0100041	141334_at
FBgn0013718	FBtr0100041	151620_at
FBgn0013718	FBtr0100044	142556_at
FBgn0013718	FBtr0100044	141334_at
FBgn0013718	FBtr0100044	151620_at
FBgn0013718	FBtr0306620	142556_at
FBgn0013718	FBtr0306620	141334_at
FBgn0013718	FBtr0306620	151620_at
FBgn0050419	FBtr0072275	147846_at
FBgn0050419	FBtr0072275	147845_at
FBgn0023525	FBtr0070417	152666_at
FBgn0023525	FBtr0342768	152666_at
FBgn0261938	FBtr0077989	142428_at
FBgn0261938	FBtr0332273	142428_at
FBgn0037120	FBtr0113184	141508_at
FBgn0037120	FBtr0332769	141508_at
FBgn0037120	FBtr0078459	141508_at
FBgn0037120	FBtr0078458	141508_at
FBgn0036782	FBtr0310156	148991_at
FBgn0037486	FBtr0332536	149432_at
FBgn0037486	FBtr0081601	149432_at
FBgn0037486	FBtr0332537	149432_at
FBgn0029084	FBtr0071766	151464_at
FBgn0039705	FBtr0085529	150849_at
FBgn0039705	FBtr0085529	141401_at
FBgn0039705	FBtr0085530	150849_at
FBgn0039705	FBtr0085530	141401_at
FBgn0039705	FBtr0339144	150849_at
FBgn0039705	FBtr0339144	151111_at
FBgn0039705	FBtr0339144	141401_at
FBgn0039705	FBtr0085528	150849_at
FBgn0039705	FBtr0085528	151111_at
FBgn0039705	FBtr0085528	141401_at
FBgn0039642	FBtr0335407	150809_at
FBgn0039642	FBtr0085411	150809_at
FBgn0014028	FBtr0086156	154195_at
FBgn0034797	FBtr0071943	151996_at
FBgn0034797	FBtr0071942	152075_at
FBgn0034797	FBtr0071942	151996_at
FBgn0034797	FBtr0304795	152075_at
FBgn0034797	FBtr0304795	151996_at
FBgn0038924	FBtr0084186	152903_at
FBgn0038217	FBtr0082952	149886_at
FBgn0016978	FBtr0079355	155143_at
FBgn0016978	FBtr0331375	155143_at
FBgn0085341	FBtr0112510	147132_at
FBgn0038621	FBtr0083654	150141_at
FBgn0025800	FBtr0071192	142701_at
FBgn0025800	FBtr0071192	144094_at
FBgn0025800	FBtr0340159	142701_at
FBgn0025800	FBtr0340159	144094_at
FBgn0037293	FBtr0078842	154565_at
FBgn0002936	FBtr0078023	152203_at
FBgn0033893	FBtr0087599	147181_at
FBgn0040232	FBtr0332205	146237_at
FBgn0040232	FBtr0332204	146237_at
FBgn0040232	FBtr0332202	146237_at
FBgn0040232	FBtr0332203	146237_at
FBgn0032969	FBtr0344210	146605_at
FBgn0032969	FBtr0347504	146605_at
FBgn0046763	FBtr0084047	143726_at
FBgn0046763	FBtr0084047	141578_at
FBgn0025682	FBtr0089941	144088_at
FBgn0025682	FBtr0089942	144088_at
FBgn0032481	FBtr0080488	154434_at
FBgn0265190	FBtr0339112	141795_at
FBgn0002863	FBtr0084561	143275_at
FBgn0040060	FBtr0077038	152176_at
FBgn0050169	FBtr0072302	147867_at
FBgn0050169	FBtr0072302	147868_at
FBgn0034462	FBtr0336983	147509_at
FBgn0034462	FBtr0303023	147509_at
FBgn0025631	FBtr0070341	144076_at
FBgn0025631	FBtr0303043	144076_at
FBgn0025631	FBtr0310288	144076_at
FBgn0025631	FBtr0303044	144076_at
FBgn0025631	FBtr0303045	144076_at
FBgn0025631	FBtr0310289	144076_at
FBgn0034822	FBtr0071978	147743_at
FBgn0028418	FBtr0075722	148754_at
FBgn0038890	FBtr0301211	150315_at
FBgn0038890	FBtr0301212	150315_at
FBgn0038890	FBtr0334664	150315_at
FBgn0038890	FBtr0084112	150315_at
FBgn0038890	FBtr0334663	150315_at
FBgn0004573	FBtr0085746	153520_at
FBgn0004573	FBtr0334508	153520_at
FBgn0039687	FBtr0085461	150839_at
FBgn0034730	FBtr0071830	147676_at
FBgn0000449	FBtr0073205	142177_at
FBgn0043457	FBtr0273268	150264_at
FBgn0043457	FBtr0340547	150264_at
FBgn0036689	FBtr0089584	154559_at
FBgn0022382	FBtr0112902	146916_at
FBgn0022382	FBtr0112901	146916_at
FBgn0022382	FBtr0088438	146916_at
FBgn0022382	FBtr0088437	146916_at
FBgn0267601	FBtr0347047	151259_at
FBgn0085734	FBtr0114183	144506_at
FBgn0030578	FBtr0073936	145077_at
FBgn0037885	FBtr0304708	149680_at
FBgn0037885	FBtr0304707	149680_at
FBgn0037885	FBtr0082354	149680_at
FBgn0011274	FBtr0301578	143643_at
FBgn0011274	FBtr0081008	143643_at
FBgn0011274	FBtr0081009	143643_at
FBgn0032613	FBtr0080928	146385_at
FBgn0028573	FBtr0076064	144238_at
FBgn0033222	FBtr0113050	146768_at
FBgn0033222	FBtr0088830	146768_at
FBgn0034328	FBtr0086729	147430_at
FBgn0015572	FBtr0081546	142957_at
FBgn0033234	FBtr0309843	153231_at
FBgn0033234	FBtr0088849	153231_at
FBgn0033234	FBtr0304751	153231_at
FBgn0061196	FBtr0070727	144502_at
FBgn0050463	FBtr0113380	147323_at
FBgn0050463	FBtr0113380	147325_at
FBgn0050463	FBtr0113380	147324_at
FBgn0050463	FBtr0113379	147323_at
FBgn0050463	FBtr0113379	147325_at
FBgn0050463	FBtr0113379	147324_at
FBgn0050463	FBtr0113381	147323_at
FBgn0050463	FBtr0087112	147323_at
FBgn0050463	FBtr0087112	147325_at
FBgn0050463	FBtr0087112	147324_at
FBgn0050463	FBtr0087113	147323_at
FBgn0050463	FBtr0087113	147325_at
FBgn0050463	FBtr0087113	147324_at
FBgn0036784	FBtr0075132	148992_at
FBgn0015838	FBtr0088566	143853_at
FBgn0015838	FBtr0330624	143853_at
FBgn0037307	FBtr0078820	149318_at
FBgn0001255	FBtr0310412	153745_at
FBgn0039799	FBtr0346147	150909_at
FBgn0039799	FBtr0085700	150909_at
FBgn0034084	FBtr0087249	154610_at
FBgn0034460	FBtr0086469	147507_s_at
FBgn0029123	FBtr0079733	151713_at
FBgn0029123	FBtr0079733	142903_at
FBgn0029123	FBtr0330210	151713_at
FBgn0029123	FBtr0330210	142903_at
FBgn0025595	FBtr0079310	152836_at
FBgn0025595	FBtr0079308	152836_at
FBgn0025595	FBtr0079309	152836_at
FBgn0025595	FBtr0332331	152836_at
FBgn0038976	FBtr0301486	153363_at
FBgn0038976	FBtr0084257	153363_at
FBgn0030344	FBtr0073601	152543_at
FBgn0038649	FBtr0083682	150162_at
FBgn0037296	FBtr0078831	149310_at
FBgn0051410	FBtr0273369	151027_at
FBgn0003741	FBtr0075364	142717_at
FBgn0003741	FBtr0100244	142717_at
FBgn0032877	FBtr0336825	146550_at
FBgn0032877	FBtr0081391	146550_at
FBgn0040347	FBtr0070170	151610_at
FBgn0040347	FBtr0070170	142535_at
FBgn0052600	FBtr0073913	145063_at
FBgn0052600	FBtr0073913	145068_at
FBgn0052600	FBtr0073913	145067_at
FBgn0052600	FBtr0343518	145063_at
FBgn0052600	FBtr0343518	145068_at
FBgn0052600	FBtr0343518	145067_at
FBgn0011296	FBtr0336685	151830_at
FBgn0011296	FBtr0072100	151830_at
FBgn0033763	FBtr0301237	147111_at
FBgn0039141	FBtr0445311	154205_at
FBgn0039141	FBtr0084533	154205_at
FBgn0039141	FBtr0445310	154205_at
FBgn0039141	FBtr0084534	154205_at
FBgn0039141	FBtr0346099	154205_at
FBgn0039141	FBtr0321260	154205_at
FBgn0011703	FBtr0080059	153579_at
FBgn0266670	FBtr0077519	141559_at
FBgn0031240	FBtr0078127	153062_at
FBgn0036836	FBtr0075046	149026_at
FBgn0035529	FBtr0300775	148166_at
FBgn0034601	FBtr0071627	147606_at
FBgn0034427	FBtr0086561	147485_at
FBgn0032602	FBtr0343769	146375_at
FBgn0032602	FBtr0080933	146375_at
FBgn0029824	FBtr0343051	154360_at
FBgn0029824	FBtr0070858	154360_at
FBgn0265269	FBtr0077471	145749_at
FBgn0015300	FBtr0072351	143795_at
FBgn0037583	FBtr0081853	149495_at
FBgn0031365	FBtr0077901	145600_at
FBgn0039887	FBtr0344005	150963_at
FBgn0039887	FBtr0085873	150963_at
FBgn0020497	FBtr0346708	142123_at
FBgn0020497	FBtr0346708	151467_at
FBgn0020497	FBtr0079663	142123_at
FBgn0020497	FBtr0079663	151467_at
FBgn0261954	FBtr0343522	141751_at
FBgn0261954	FBtr0303047	141751_at
FBgn0261954	FBtr0070326	141751_at
FBgn0261954	FBtr0307290	141751_at
FBgn0261954	FBtr0303046	141751_at
FBgn0261954	FBtr0307289	141751_at
FBgn0039026	FBtr0084312	142393_at
FBgn0039026	FBtr0084312	151554_at
FBgn0039026	FBtr0113271	142393_at
FBgn0039026	FBtr0113271	151554_at
FBgn0039026	FBtr0310038	142393_at
FBgn0039026	FBtr0310038	151554_at
FBgn0039026	FBtr0310037	142393_at
FBgn0039026	FBtr0310037	151554_at
FBgn0039026	FBtr0344297	142393_at
FBgn0039026	FBtr0344297	151554_at
FBgn0039026	FBtr0113270	142393_at
FBgn0039026	FBtr0113270	151554_at
FBgn0039089	FBtr0084433	152429_at
FBgn0039089	FBtr0084433	150455_at
FBgn0039089	FBtr0332427	152429_at
FBgn0039089	FBtr0332427	150455_at
FBgn0259789	FBtr0074807	145397_at
FBgn0259789	FBtr0074808	145397_at
FBgn0259789	FBtr0345014	145397_at
FBgn0030289	FBtr0290227	144865_at
FBgn0030289	FBtr0307491	144865_at
FBgn0039698	FBtr0085483	154689_at
FBgn0020385	FBtr0082266	152669_at
FBgn0020385	FBtr0305662	152669_at
FBgn0020385	FBtr0082265	152669_at
FBgn0020385	FBtr0082264	152669_at
FBgn0020385	FBtr0100144	152669_at
FBgn0053012	FBtr0332249	147082_at
FBgn0035976	FBtr0346814	148457_at
FBgn0035976	FBtr0308349	148457_at
FBgn0035976	FBtr0089492	148457_at
FBgn0035976	FBtr0472541	148457_at
FBgn0035976	FBtr0089491	148457_at
FBgn0035976	FBtr0301773	148457_at
FBgn0051017	FBtr0085667	151550_s_at
FBgn0051017	FBtr0085667	151549_i_at
FBgn0041241	FBtr0088127	147018_at
FBgn0031713	FBtr0079128	152875_at
FBgn0038487	FBtr0083415	154015_at
FBgn0034554	FBtr0335284	147579_at
FBgn0020653	FBtr0071168	154053_at
FBgn0020653	FBtr0071167	154053_at
FBgn0020653	FBtr0071169	154053_at
FBgn0015351	FBtr0336486	143802_at
FBgn0037700	FBtr0082061	154573_at
FBgn0052062	FBtr0113418	153863_at
FBgn0052062	FBtr0113418	148523_at
FBgn0052062	FBtr0305094	153863_at
FBgn0052062	FBtr0305094	148523_at
FBgn0052062	FBtr0305095	153863_at
FBgn0052062	FBtr0305095	148523_at
FBgn0052062	FBtr0305097	153863_at
FBgn0052062	FBtr0305097	148523_at
FBgn0052062	FBtr0305096	153863_at
FBgn0052062	FBtr0305096	148523_at
FBgn0052062	FBtr0332985	153863_at
FBgn0052062	FBtr0332985	148523_at
FBgn0052062	FBtr0473371	153863_at
FBgn0052062	FBtr0473371	148523_at
FBgn0052062	FBtr0113419	153863_at
FBgn0052062	FBtr0113419	148523_at
FBgn0052062	FBtr0305093	153863_at
FBgn0052062	FBtr0305093	148523_at
FBgn0023416	FBtr0085897	142749_at
FBgn0023416	FBtr0085897	151673_s_at
FBgn0023416	FBtr0100324	151674_r_at
FBgn0023416	FBtr0100324	151673_s_at
FBgn0038916	FBtr0084151	150337_at
FBgn0051619	FBtr0110959	151541_s_at
FBgn0051619	FBtr0110959	146596_at
FBgn0051619	FBtr0110959	142365_at
FBgn0051619	FBtr0110959	151004_at
FBgn0051619	FBtr0085902	151541_s_at
FBgn0051619	FBtr0085902	151542_r_at
FBgn0051619	FBtr0085902	146596_at
FBgn0051619	FBtr0085902	151004_at
FBgn0051619	FBtr0085901	151541_s_at
FBgn0051619	FBtr0085901	146596_at
FBgn0051619	FBtr0085901	142365_at
FBgn0051619	FBtr0085901	151004_at
FBgn0051619	FBtr0339132	151541_s_at
FBgn0051619	FBtr0339132	146596_at
FBgn0051619	FBtr0339132	142365_at
FBgn0051619	FBtr0339132	151004_at
FBgn0051619	FBtr0339131	151541_s_at
FBgn0051619	FBtr0339131	146596_at
FBgn0051619	FBtr0339131	151004_at
FBgn0051619	FBtr0307497	151541_s_at
FBgn0051619	FBtr0307497	146596_at
FBgn0051619	FBtr0307497	142365_at
FBgn0051619	FBtr0307497	151004_at
FBgn0051619	FBtr0301000	151541_s_at
FBgn0051619	FBtr0301000	146596_at
FBgn0051619	FBtr0301000	142365_at
FBgn0051619	FBtr0301000	151004_at
FBgn0015773	FBtr0346088	142249_at
FBgn0015773	FBtr0346088	143841_at
FBgn0015773	FBtr0073942	142249_at
FBgn0015773	FBtr0073942	143841_at
FBgn0015773	FBtr0308337	142249_at
FBgn0015773	FBtr0308337	143841_at
FBgn0039810	FBtr0085752	150917_at
FBgn0040905	FBtr0070659	151376_at
FBgn0051869	FBtr0290245	146193_at
FBgn0051869	FBtr0290245	146195_at
FBgn0051869	FBtr0080189	146193_at
FBgn0051869	FBtr0080189	146195_at
FBgn0051869	FBtr0290246	146193_at
FBgn0051869	FBtr0290246	146195_at
FBgn0032126	FBtr0079832	146092_at
FBgn0063380	FBtr0086853	151217_at
FBgn0032805	FBtr0081276	146502_at
FBgn0030077	FBtr0339679	144723_at
FBgn0030077	FBtr0071357	144723_at
FBgn0030077	FBtr0339680	144723_at
FBgn0040089	FBtr0339436	145390_at
FBgn0040089	FBtr0339435	145390_at
FBgn0040089	FBtr0301703	145390_at
FBgn0040089	FBtr0074812	145390_at
FBgn0031849	FBtr0079315	145919_at
FBgn0003942	FBtr0080016	143398_at
FBgn0011674	FBtr0071562	143675_at
FBgn0037773	FBtr0300257	149603_at
FBgn0037773	FBtr0082215	149603_at
FBgn0037773	FBtr0306611	149603_at
FBgn0053792	FBtr0332251	142904_at
FBgn0053792	FBtr0332251	141835_s_at
FBgn0031384	FBtr0330671	145615_at
FBgn0031384	FBtr0301066	145615_at
FBgn0031384	FBtr0334774	145615_at
FBgn0031384	FBtr0334773	145615_at
FBgn0031384	FBtr0301067	145615_at
FBgn0031384	FBtr0330672	145615_at
FBgn0031384	FBtr0301068	145615_at
FBgn0031996	FBtr0079586	153927_at
FBgn0039568	FBtr0085260	150763_at
FBgn0032693	FBtr0081077	155069_at
FBgn0020445	FBtr0089979	145704_at
FBgn0020445	FBtr0089979	145703_at
FBgn0020445	FBtr0339548	145704_at
FBgn0020445	FBtr0339548	145703_at
FBgn0020445	FBtr0339549	145704_at
FBgn0020445	FBtr0339549	145703_at
FBgn0270924	FBtr0079865	154142_at
FBgn0085425	FBtr0112644	147600_at
