Gene stable ID	Transcript stable ID	AFFY C elegans probe
WBGene00000001	Y110A7A.10.1	187171_s_at
WBGene00000001	Y110A7A.10.2	187171_s_at
WBGene00000002	F27C8.1.1	192458_at
WBGene00000002	F27C8.1.2	192458_at
WBGene00000003	F07C3.7.1	190092_at
WBGene00000004	F52H2.2a.1	190053_at
WBGene00000005	T13A10.10a.1	190396_s_at
WBGene00000005	T13A10.10b	190396_s_at
WBGene00000006	C55C2.5a.1	189918_s_at
WBGene00000006	C55C2.5a.1	175425_at
WBGene00000006	C55C2.5b	189918_s_at
WBGene00000006	C55C2.5b	175425_at
WBGene00000006	C55C2.5c	189918_s_at
WBGene00000006	C55C2.5c	175425_at
WBGene00000006	C55C2.5d	189918_s_at
WBGene00000006	C55C2.5d	175425_at
WBGene00000007	T11F9.4a.1	190756_at
WBGene00000007	T11F9.4b.1	190756_at
WBGene00000008	F54D12.3.1	184221_at
WBGene00000009	F28F9.4.1	189901_at
WBGene00000010	Y53H1C.1a.1	183740_at
WBGene00000010	Y53H1C.1b.1	183740_at
WBGene00000012	C50F2.9.1	175642_s_at
WBGene00000012	C50F2.9.1	175646_at
WBGene00000013	C50F2.10.1	175642_s_at
WBGene00000014	F54B8.5.1	178954_at
WBGene00000015	Y38H6C.22.1	186162_at
WBGene00000016	T22H6.5.1	177762_at
WBGene00000018	M79.1a.1	174890_at
WBGene00000018	M79.1a.1	194131_s_at
WBGene00000018	M79.1b.1	174890_at
WBGene00000018	M79.1b.1	194131_s_at
WBGene00000018	M79.1c.1	174890_at
WBGene00000018	M79.1c.1	194131_s_at
WBGene00000019	C24F3.5a.1	189277_at
WBGene00000019	C24F3.5b.1	189277_at
WBGene00000020	F12B6.1a.1	189322_at
WBGene00000020	F12B6.1a.1	177358_at
WBGene00000020	F12B6.1b.1	189322_at
WBGene00000020	F12B6.1b.1	177358_at
WBGene00000021	F55G11.9	191816_at
WBGene00000022	Y39D8C.1.1	189473_at
WBGene00000023	Y53C10A.9.1	189571_at
WBGene00000024	AC3.3.1	177193_s_at
WBGene00000025	F19G12.7.1	184782_at
WBGene00000026	F31A3.1	191122_at
WBGene00000027	Y5H2A.3.1	187888_s_at
WBGene00000027	Y5H2A.3.1	172056_x_at
