Gene stable ID	Transcript stable ID	AFFY HG U95A probe
ENSG00000271254	ENST00000614336	34279_at
ENSG00000271254	ENST00000612640	34279_at
ENSG00000271254	ENST00000612721	34279_at
ENSG00000271254	ENST00000616361	34279_at
ENSG00000277044	ENST00000615600	34558_at
ENSG00000277044	ENST00000627060	34558_at
ENSG00000277044	ENST00000625570	34558_at
ENSG00000276876	ENST00000613234	32188_at
ENSG00000276876	ENST00000613234	32189_g_at
ENSG00000276876	ENST00000616648	32188_at
ENSG00000276876	ENST00000616648	32189_g_at
ENSG00000275018	ENST00000625658	32189_g_at
ENSG00000274861	ENST00000616134	31984_at
ENSG00000274861	ENST00000617148	31984_at
ENSG00000275442	ENST00000619672	31984_at
ENSG00000275442	ENST00000611558	31984_at
ENSG00000274120	ENST00000617447	31984_at
ENSG00000274120	ENST00000617950	31984_at
ENSG00000276243	ENST00000619394	31984_at
ENSG00000276243	ENST00000615630	31984_at
ENSG00000277963	ENST00000621249	31984_at
ENSG00000277963	ENST00000618910	31984_at
ENSG00000275637	ENST00000617741	34040_s_at
ENSG00000275637	ENST00000617565	34040_s_at
ENSG00000275637	ENST00000622620	34040_s_at
ENSG00000275637	ENST00000611792	34040_s_at
ENSG00000275637	ENST00000614704	34040_s_at
ENSG00000277267	ENST00000616869	31984_at
ENSG00000277267	ENST00000610868	31984_at
ENSG00000276247	ENST00000617953	31984_at
ENSG00000276247	ENST00000619288	31984_at
ENSG00000273528	ENST00000618307	31984_at
ENSG00000273528	ENST00000610692	31984_at
ENSG00000275289	ENST00000621268	31984_at
ENSG00000275289	ENST00000615486	31984_at
ENSG00000274788	ENST00000620686	31984_at
ENSG00000274788	ENST00000614877	31984_at
ENSG00000274842	ENST00000618685	31984_at
ENSG00000274842	ENST00000610968	31984_at
ENSG00000274826	ENST00000617830	31984_at
ENSG00000274826	ENST00000617116	31984_at
ENSG00000278025	ENST00000618798	34040_s_at
ENSG00000278025	ENST00000615417	34040_s_at
ENSG00000278025	ENST00000612994	34040_s_at
ENSG00000278025	ENST00000618725	34040_s_at
ENSG00000278025	ENST00000620721	34040_s_at
ENSG00000278091	ENST00000615320	36303_f_at
ENSG00000278091	ENST00000613159	36303_f_at
ENSG00000278091	ENST00000612293	36303_f_at
ENSG00000277334	ENST00000611233	34040_s_at
ENSG00000277334	ENST00000612744	34040_s_at
ENSG00000277334	ENST00000621993	34040_s_at
ENSG00000276450	ENST00000615309	34040_s_at
ENSG00000273666	ENST00000619767	31984_at
ENSG00000273666	ENST00000621852	31984_at
ENSG00000278788	ENST00000631948	36336_s_at
ENSG00000278788	ENST00000631948	37216_at
ENSG00000278788	ENST00000622719	36336_s_at
ENSG00000278788	ENST00000622719	37216_at
ENSG00000278788	ENST00000634172	36336_s_at
ENSG00000278788	ENST00000634172	37216_at
ENSG00000278788	ENST00000631689	36336_s_at
ENSG00000278788	ENST00000631689	37216_at
ENSG00000278788	ENST00000612198	36336_s_at
ENSG00000278788	ENST00000612198	37216_at
ENSG00000262826	ENST00000576030	41406_at
ENSG00000262826	ENST00000571768	41406_at
ENSG00000262826	ENST00000575952	41406_at
ENSG00000262826	ENST00000576422	41406_at
ENSG00000262826	ENST00000575774	41406_at
ENSG00000262826	ENST00000575708	41406_at
ENSG00000262826	ENST00000573844	41406_at
ENSG00000262826	ENST00000571829	41406_at
ENSG00000275521	ENST00000616780	34040_s_at
ENSG00000275521	ENST00000616935	34040_s_at
ENSG00000275521	ENST00000612194	34040_s_at
ENSG00000274891	ENST00000618133	41590_at
ENSG00000274891	ENST00000631083	41590_at
ENSG00000274891	ENST00000627360	41590_at
ENSG00000274891	ENST00000631737	41590_at
ENSG00000263163	ENST00000575439	41406_at
ENSG00000278573	ENST00000615362	35984_at
ENSG00000276017	ENST00000617983	35896_at
ENSG00000276017	ENST00000617983	736_f_at
ENSG00000276017	ENST00000617983	737_at
ENSG00000278817	ENST00000613204	40234_at
ENSG00000277196	ENST00000621424	34110_g_at
ENSG00000277196	ENST00000621424	40042_r_at
ENSG00000277196	ENST00000615165	34110_g_at
ENSG00000277196	ENST00000615165	40042_r_at
ENSG00000274429	ENST00000632221	40575_at
ENSG00000274429	ENST00000631962	40575_at
ENSG00000274429	ENST00000614211	40575_at
ENSG00000274429	ENST00000633777	40575_at
ENSG00000275051	ENST00000613226	35901_at
ENSG00000275051	ENST00000631714	35901_at
ENSG00000279566	ENST00000624335	33982_f_at
ENSG00000279566	ENST00000623359	33982_f_at
ENSG00000279566	ENST00000624732	33982_f_at
ENSG00000279566	ENST00000623648	33982_f_at
ENSG00000263243	ENST00000572470	34615_at
ENSG00000263057	ENST00000576098	40694_at
ENSG00000275517	ENST00000625471	36775_f_at
ENSG00000275517	ENST00000625471	32885_f_at
ENSG00000275517	ENST00000625471	36774_f_at
ENSG00000275517	ENST00000620127	36775_f_at
ENSG00000275517	ENST00000620127	32885_f_at
ENSG00000275517	ENST00000620127	36774_f_at
ENSG00000275517	ENST00000628976	36775_f_at
ENSG00000275517	ENST00000628976	32885_f_at
ENSG00000275517	ENST00000628976	36774_f_at
ENSG00000275517	ENST00000615646	36775_f_at
ENSG00000275517	ENST00000615646	32885_f_at
ENSG00000275517	ENST00000615646	36774_f_at
ENSG00000275517	ENST00000612920	36775_f_at
ENSG00000275517	ENST00000612920	32885_f_at
ENSG00000275517	ENST00000612920	36774_f_at
ENSG00000273883	ENST00000618668	31984_at
ENSG00000273883	ENST00000616378	31984_at
ENSG00000276512	ENST00000614232	31984_at
ENSG00000273922	ENST00000611045	31984_at
ENSG00000273922	ENST00000618615	31984_at
ENSG00000274382	ENST00000614006	33086_at
ENSG00000262156	ENST00000623492	39230_at
ENSG00000262156	ENST00000570508	39230_at
ENSG00000280759	ENST00000626787	32228_at
ENSG00000277518	ENST00000627256	38217_at
ENSG00000277518	ENST00000627256	707_s_at
ENSG00000277518	ENST00000628539	38217_at
ENSG00000277518	ENST00000621433	38217_at
ENSG00000277518	ENST00000621433	707_s_at
ENSG00000280635	ENST00000629850	33086_at
ENSG00000277909	ENST00000612084	38940_at
ENSG00000277909	ENST00000611144	38940_at
ENSG00000277909	ENST00000616584	38940_at
ENSG00000276582	ENST00000618180	31398_at
ENSG00000276582	ENST00000611248	31398_at
ENSG00000277271	ENST00000610311	31984_at
ENSG00000278759	ENST00000633825	39398_s_at
ENSG00000278759	ENST00000633825	39399_at
ENSG00000278759	ENST00000633032	39398_s_at
ENSG00000278759	ENST00000634076	39398_s_at
ENSG00000278759	ENST00000634076	39399_at
ENSG00000278759	ENST00000632739	39398_s_at
ENSG00000278759	ENST00000632739	39399_at
ENSG00000278759	ENST00000632984	39398_s_at
ENSG00000278759	ENST00000632984	39399_at
ENSG00000278759	ENST00000612762	39398_s_at
ENSG00000278759	ENST00000612762	39399_at
ENSG00000278759	ENST00000633959	39398_s_at
ENSG00000278759	ENST00000633959	39399_at
ENSG00000278759	ENST00000631706	39398_s_at
ENSG00000278759	ENST00000631646	39398_s_at
ENSG00000278759	ENST00000631646	39399_at
ENSG00000278759	ENST00000632647	39398_s_at
ENSG00000262795	ENST00000573079	41140_at
ENSG00000262795	ENST00000571550	41140_at
ENSG00000262795	ENST00000576463	41140_at
ENSG00000262795	ENST00000573887	41140_at
ENSG00000262860	ENST00000575811	38400_at
ENSG00000262860	ENST00000575811	38401_s_at
ENSG00000262860	ENST00000570462	38401_s_at
ENSG00000262860	ENST00000575697	38401_s_at
ENSG00000262860	ENST00000570386	38400_at
ENSG00000262860	ENST00000570386	38401_s_at
ENSG00000262860	ENST00000624888	38401_s_at
ENSG00000262860	ENST00000623285	38401_s_at
ENSG00000262860	ENST00000575388	38400_at
ENSG00000262860	ENST00000575388	38401_s_at
ENSG00000276230	ENST00000621211	36187_at
ENSG00000276230	ENST00000632262	36187_at
ENSG00000276230	ENST00000619599	36187_at
ENSG00000276230	ENST00000632954	36187_at
ENSG00000276230	ENST00000633378	36187_at
ENSG00000276230	ENST00000631544	36187_at
ENSG00000276230	ENST00000631652	36187_at
ENSG00000276230	ENST00000632527	36187_at
ENSG00000276230	ENST00000633287	36187_at
ENSG00000276230	ENST00000612988	36187_at
ENSG00000276230	ENST00000617351	36187_at
ENSG00000276230	ENST00000618184	36187_at
ENSG00000280787	ENST00000631065	40877_s_at
ENSG00000281289	ENST00000630343	39107_at
ENSG00000281289	ENST00000626535	39107_at
ENSG00000281289	ENST00000630761	39108_at
ENSG00000281289	ENST00000630761	39107_at
ENSG00000281289	ENST00000627118	39107_at
ENSG00000281289	ENST00000630702	39108_at
ENSG00000281289	ENST00000630702	39107_at
ENSG00000273772	ENST00000614773	37313_at
ENSG00000273772	ENST00000627341	37313_at
ENSG00000273772	ENST00000631104	37313_at
ENSG00000273772	ENST00000628642	37313_at
ENSG00000273772	ENST00000628000	37313_at
ENSG00000273772	ENST00000614610	37313_at
ENSG00000277033	ENST00000621596	41006_at
ENSG00000277033	ENST00000633139	41006_at
ENSG00000277033	ENST00000632023	41006_at
ENSG00000277033	ENST00000634114	41006_at
ENSG00000277033	ENST00000631453	41006_at
ENSG00000277033	ENST00000633330	41006_at
ENSG00000273793	ENST00000625578	1561_at
ENSG00000273793	ENST00000625578	1562_g_at
ENSG00000273793	ENST00000627104	1561_at
ENSG00000273793	ENST00000617829	1561_at
ENSG00000273793	ENST00000617829	1562_g_at
ENSG00000278728	ENST00000633326	37155_at
ENSG00000278728	ENST00000633544	37155_at
ENSG00000278728	ENST00000633607	37155_at
ENSG00000278728	ENST00000613345	37155_at
ENSG00000278728	ENST00000632946	37155_at
ENSG00000278165	ENST00000629053	1561_at
ENSG00000278165	ENST00000629053	1562_g_at
ENSG00000278165	ENST00000628215	1561_at
ENSG00000278165	ENST00000610856	1561_at
ENSG00000278165	ENST00000610856	1562_g_at
ENSG00000262473	ENST00000574289	38384_at
ENSG00000262473	ENST00000573055	38384_at
ENSG00000262473	ENST00000575273	38384_at
ENSG00000262473	ENST00000571089	38384_at
ENSG00000262473	ENST00000574017	38384_at
ENSG00000278633	ENST00000619792	35896_at
ENSG00000278633	ENST00000619792	737_at
ENSG00000278066	ENST00000620795	35984_at
ENSG00000276536	ENST00000631627	35701_at
ENSG00000276536	ENST00000631627	1590_s_at
ENSG00000276536	ENST00000631967	35701_at
ENSG00000276536	ENST00000631967	1590_s_at
ENSG00000276536	ENST00000631404	35701_at
ENSG00000276536	ENST00000631404	1590_s_at
ENSG00000276536	ENST00000634098	35701_at
ENSG00000276536	ENST00000634098	1590_s_at
ENSG00000276536	ENST00000632658	35701_at
